date,week_label,theme,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-01-08,2025-01-08,건설 대표주,6.999999999999998,9,35,0.5083008184400435,True
2025-01-08,2025-01-08,GTX(수도권 광역급행철도),0.9985297319557355,29,289,0.3508253847357527,True
2025-01-08,2025-01-08,원자력발전,2.7867351510662326,57,1071,0.35925135791102725,True
2025-01-08,2025-01-08,두나무(Dunamu),0.9447691735703725,13,53,0.3333350610362179,True
2025-01-08,2025-01-08,마켓컬리(kurly),0.9679513773239898,12,40,0.2346066790239072,True
2025-01-08,2025-01-08,퓨리오사AI,3.9999999999999996,9,30,0.4450592406555681,True
2025-01-08,2025-01-08,창투사,4.59238134593568,21,151,0.3893137323200675,True
2025-01-08,2025-01-08,일자리(취업),8.999999999999998,9,36,0.6761683740712483,True
2025-01-08,2025-01-08,철강 중소형,3.8925356166086442,41,489,0.2857194040846315,True
2025-01-08,2025-01-08,폐배터리,8.557736917040742,25,243,0.4106380854400613,True
2025-01-08,2025-01-08,건강기능식품,7.652828321659088,56,776,0.1953017791589853,True
2025-01-08,2025-01-08,메르스 코로나 바이러스,0.9952749176881979,24,216,0.38860237586174157,True
2025-01-08,2025-01-08,마이코플라스마 폐렴,2.9806564033719254,12,54,0.442857383003825,True
2025-01-08,2025-01-08,비만치료제,2.34921945248437,39,528,0.3638905756544944,True
2025-01-08,2025-01-08,수소차(연료전지/부품/충전소 등),2.9864264837068317,82,2610,0.3892649707087885,True
2025-01-08,2025-01-08,LPG(액화석유가스),2.000000000000002,10,37,0.41511173551974784,True
2025-01-08,2025-01-08,셰일가스(Shale Gas),1.8348392098941306,14,61,0.3157965183633503,True
2025-01-08,2025-01-08,가상현실(VR),1.9030044011008096,34,334,0.28174706182901627,True
2025-01-08,2025-01-08,2차전지(LFP/리튬인산철),5.548282741515237,15,78,0.36942783807664803,True
2025-01-08,2025-01-08,페라이트,0.0,16,89,,False
2025-01-08,2025-01-08,희귀금속(희토류 등),0.0,17,90,0.3367743100764624,False
2025-01-08,2025-01-08,쿠팡(coupang),4.966184704406399,23,195,0.34039381007848935,True
2025-01-08,2025-01-08,리츠(REITs),3.897849214853263,24,187,0.3392941998453836,True
2025-01-08,2025-01-08,NFT(대체불가토큰),0.0,22,124,,False
2025-01-08,2025-01-08,가상화폐(비트코인 등),0.0,31,222,,False
2025-01-08,2025-01-08,광고,2.9052467863651157,26,225,0.3368078956325189,True
2025-01-08,2025-01-08,코로나19(음압병실/음압구급차),4.0,7,19,0.4063345564309341,True
2025-01-08,2025-01-08,카지노,5.999999999999999,6,15,0.499208214028281,True
2025-01-08,2025-01-08,국내 상장 중국기업,0.0,13,47,0.3097705323801783,False
2025-01-08,2025-01-08,인터넷은행,0.9848500870403538,34,323,0.27481626887118726,True
2025-01-08,2025-01-08,호텔/리조트,5.98154245149046,16,91,0.40911242328894204,True
2025-01-08,2025-01-08,자원개발,1.956571037447246,16,92,0.3670780030336799,True
2025-01-08,2025-01-08,콜드체인(저온 유통),1.4857373459792498e-16,14,39,0.2348088723462129,True
2025-01-08,2025-01-08,종합상사,3.6393127312247207,13,54,0.3471638855580639,True
2025-01-08,2025-01-08,UAM(도심항공모빌리티),4.12392483220168,30,239,0.26487470189167334,True
2025-01-08,2025-01-08,모듈러주택,2.294439832075273,11,36,0.37463203863840244,True
2025-01-08,2025-01-08,윤활유,3.9999999999999982,8,25,0.4392256831247751,True
2025-01-08,2025-01-08,정유,4.0,4,6,0.5923786984164164,True
2025-01-08,2025-01-08,LNG(액화천연가스),3.891859513549728,29,227,0.2762405509932704,True
2025-01-08,2025-01-08,유리 기판,14.948625758268964,21,204,0.5500008150065214,True
2025-01-08,2025-01-08,2차전지(장비),0.0,52,1184,0.5097705740258456,False
2025-01-08,2025-01-08,면세점,1.0,8,21,0.37887722854996386,True
2025-01-08,2025-01-08,철도,0.9857608346942869,47,621,0.28550424138944974,True
2025-01-08,2025-01-08,재난/안전(지진/화재 등),0.0,25,141,0.24004806328068484,False
2025-01-08,2025-01-08,사물인터넷,0.0,34,296,,False
2025-01-08,2025-01-08,방위산업/전쟁 및 테러,0.0,59,1044,,False
2025-01-08,2025-01-08,조선,1.0000000000000004,9,24,0.37780472576302293,True
2025-01-08,2025-01-08,전력저장장치(ESS),3.8166262938614692,53,908,0.35239812457720027,True
2025-01-08,2025-01-08,건설기계,0.9343410273207003,23,156,0.32457905899307926,True
2025-01-08,2025-01-08,우크라이나 재건,1.968221187224347,41,576,0.3920511281214201,True
2025-01-08,2025-01-08,전력설비,1.8303918055314743,35,383,0.3344408569109736,True
2025-01-08,2025-01-08,조선기자재,6.691299684078795,36,435,0.35719084025582204,True
2025-01-08,2025-01-08,엠폭스(원숭이두창),5.833666559523122,21,154,0.39264488271005316,True
2025-01-08,2025-01-08,건설 중소형,2.663123921651272,32,258,0.22424960708888605,True
2025-01-08,2025-01-08,줄기세포,0.0,21,72,0.19471389553596108,False
2025-01-08,2025-01-08,고령화 사회(노인복지),0.0,43,540,,False
2025-01-08,2025-01-08,의료기기,0.0,89,2343,,False
2025-01-08,2025-01-08,치매,5.963186992201573,55,1053,0.36296119712974956,True
2025-01-08,2025-01-08,마리화나(대마),0.8912609272763224,11,30,0.30029224003743915,True
2025-01-08,2025-01-08,리비안(RIVIAN),0.8466847546786048,24,177,0.3568027250021569,True
2025-01-08,2025-01-08,전기차,0.0,115,4574,,False
2025-01-08,2025-01-08,자동차 대표주,2.000000000000001,9,27,0.3578645161821576,True
2025-01-08,2025-01-08,해운,4.0,6,14,0.59137665074903,True
2025-01-08,2025-01-08,온디바이스 AI,7.838160226637103,27,291,0.46085664674164284,True
2025-01-08,2025-01-08,타이어,3.7568786087061623,13,56,0.34013886304512664,True
2025-01-08,2025-01-08,도시가스,6.000000000000002,9,34,0.5421820192443253,True
2025-01-08,2025-01-08,겨울,4.932943071128358,22,176,0.3977236728699619,True
2025-01-08,2025-01-08,탈모 치료,0.0,22,123,,False
2025-01-08,2025-01-08,코로나19(치료제/백신 개발 등),0.0,33,286,,False
2025-01-08,2025-01-08,황사/미세먼지,0.0,28,215,,False
