theme,n_stocks,current_fiedler,historical_fiedler,fiedler_change,pct_change,current_date
2차전지,162,7.5103851773553645,4.586403376143852,2.9239818012115126,63.75326288177323,2026-01-26
은행,11,3.7282596058483297,1.3154519216075187,2.412807684240811,183.42043860427017,2026-01-27
스테이블코인,24,3.504213736591017,1.21491955377114,2.2892941828198774,188.4317505396841,2026-01-23
수소차(연료전지/부품/충전소 등),85,4.192317094624278,2.5678244408730118,1.6244926537512665,63.26338467278432,2026-01-26
음식료업종,74,4.359904248400194,3.3266624316166014,1.0332418167835926,31.05941279053931,2026-01-26
의료기기,94,4.284324299860052,3.2621471684083794,1.0221771314516728,31.334488564793933,2026-01-22
전력설비,37,2.7030910239487684,1.763739481536363,0.9393515424124055,53.25908685755294,2026-01-23
화폐/금융자동화기기(디지털화폐 등),13,1.427036555382087,0.5659111755643222,0.8611253798177647,152.1661732442476,2026-01-27
방위산업/전쟁 및 테러,61,3.6291268772339875,2.772955365473757,0.8561715117602304,30.87577688485275,2026-01-27
"주류업(주정, 에탄올 등)",13,1.3413987817978028,0.5057477710922282,0.8356510107055746,165.23078468559086,2026-01-27
코로나19(진단/치료제/백신 개발 등),83,4.244604036517744,3.409262888627661,0.8353411478900834,24.502104272350067,2026-01-27
지주사,157,8.806580126082977,8.10588903152262,0.7006910945603568,8.644222636597556,2026-01-27
NI(네트워크통합),7,1.0653990025578286,0.36671981426930716,0.6986791882885215,190.52125385715703,2026-01-27
증권,26,3.5176866074588005,2.8223917891303505,0.69529481832845,24.63495043481145,2026-01-27
렌터카,4,0.8560999676181198,0.1662072681681203,0.6898926994499995,415.0797417307685,2026-01-20
해저터널(지하화/지하도로 등),9,1.3401315543116603,0.6598870469437862,0.6802445073678741,103.08499166916094,2026-01-23
구제역/광우병 수혜,22,1.5980719974510127,0.99950550883427,0.5985664886167427,59.88626208922598,2026-01-20
미용기기,20,1.2699239688527932,0.6721043796996257,0.5978195891531676,88.94743245392075,2026-01-22
전기차,116,4.953369780474231,4.3597352714787085,0.5936345089955228,13.61629713801814,2026-01-22
밸류업(25년 기업가치 제고계획 발표),99,5.523046329801894,4.932171014656976,0.5908753151449178,11.98002488942513,2026-01-27
日제품 불매운동(수혜),20,1.3553369403410294,0.7825353639814127,0.5728015763596167,73.19817131909483,2026-01-20
통신장비,49,2.6000751722801194,2.036245643852278,0.5638295284278416,27.68966161475287,2026-01-27
모바일게임(스마트폰),40,2.111104743138978,1.5839904919616115,0.5271142511773665,33.277614597584424,2026-01-27
화장품,104,4.299606136584889,3.783004519046735,0.516601617538154,13.655855152621665,2026-01-27
석유화학,22,2.0158692477835585,1.5060193170826397,0.5098499307009188,33.85414283321187,2026-01-27
풍력에너지,41,2.383312015754081,1.8800126316777603,0.5032993840763205,26.77106395966958,2026-01-20
치매,59,2.737949468352922,2.26356031554852,0.47438915280440197,20.957654609236467,2026-01-20
종합 물류,19,1.2078804509568932,0.7593340344707793,0.44854641648611393,59.071027521995646,2026-01-20
겨울,22,1.610466133273253,1.1810129096474795,0.42945322362577354,36.36312694955731,2026-01-27
LNG(액화천연가스),30,1.6868420550590817,1.2799535080481412,0.40688854701094046,31.789322381828004,2026-01-19
통신,5,0.7004252723071538,0.2938685862503381,0.40655668605681566,138.34642594648813,2026-01-20
가상현실(VR),34,1.7792029933983642,1.3819879424963224,0.3972150509020418,28.74229497144103,2026-01-28
아프리카 돼지열병(ASF),33,1.7400097553650429,1.3492957031207697,0.39071405224427314,28.956888496761334,2026-01-20
자율주행차,64,2.9200035689168384,2.537139225514992,0.3828643434018466,15.090395495506648,2026-01-21
셰일가스(Shale Gas),14,1.129333002002464,0.7500125694235685,0.37932043257889536,50.575210075536035,2026-01-20
뉴로모픽 반도체,7,1.0477825307288342,0.7016354493298382,0.34614708139899597,49.33432051211434,2026-01-21
리비안(RIVIAN),24,1.4318079849377732,1.0873947229942487,0.3444132619435245,31.673251181056738,2026-01-20
비만치료제,40,1.9386413192896512,1.6264770106947546,0.31216430859489663,19.192666514330547,2026-01-27
카지노,6,0.7709174933011232,0.46440435299634686,0.3065131403047764,66.00134954100818,2026-01-20
보톡스(보툴리눔톡신),14,0.9060050819907082,0.6011843144091363,0.30482076758157184,50.703380024337406,2026-01-20
로봇(산업용/협동로봇 등),67,2.840668532719016,2.544070366549456,0.2965981661695598,11.65841047753087,2026-01-26
DMZ 평화공원,19,0.9154799366480671,0.6273831560947912,0.2880967805532759,45.92038816383962,2026-01-20
유전자 치료제/분석,46,2.176723784540734,1.9026473495198353,0.27407643502089885,14.405004431854731,2026-01-27
리츠(REITs),25,1.4184710548696282,1.1481422047071281,0.2703288501625001,23.54489270181096,2026-01-27
"백신/진단시약/방역(신종플루, AI 등)",49,2.218570459821228,1.9510219677206562,0.26754849210057174,13.713248570601378,2026-01-20
