Theme,Tier,Bull_Pct,Bear_Pct,Trend,Fiedler,Fiedler_Change,Stocks,Status
2025 하반기 신규상장,4,0.0,100.0,-0.7999999999999999,1.869361731752757,1.4958894429298686,3,AVOID
재택근무/스마트워크,4,0.0,94.11764705882354,-0.74,0.8627863238599806,0.1940797569827919,17,AVOID
출산장려정책,4,0.0,85.71428571428571,-0.6647619047619047,0.9865253725379928,0.165962482922293,21,AVOID
엔젤산업,4,0.0,84.0,-0.7184,1.0876593841425108,0.182322532320713,25,AVOID
키오스크(KIOSK),4,9.090909090909092,81.81818181818181,-0.6454545454545454,0.960077547253359,0.4863227441274118,11,AVOID
AI 챗봇(챗GPT 등),4,11.11111111111111,81.48148148148148,-0.5792592592592593,1.529425509828263,0.7520316753046475,27,AVOID
화이자(PFIZER),4,0.0,80.0,-0.8160000000000001,2.861914528919188,2.591226251250028,5,AVOID
보안주(정보),4,21.73913043478261,73.91304347826087,-0.5226086956521739,1.7156366034370245,0.4779537626831414,46,AVOID
日제품 불매운동(수혜),4,10.526315789473685,73.6842105263158,-0.5515789473684211,1.2455561040176648,0.4680707574675503,19,AVOID
콜드체인(저온 유통),4,13.333333333333334,73.33333333333333,-0.5186666666666667,2.7442142150194657,2.1744712329336684,15,AVOID
마리화나(대마),4,18.181818181818183,72.72727272727273,-0.6072727272727273,0.6142763901169824,0.2647461746818941,11,AVOID
SNS(소셜네트워크서비스),4,27.272727272727273,72.72727272727273,-0.42363636363636364,1.2117776038855983,0.9239507100399944,11,AVOID
NI(네트워크통합),4,14.285714285714286,71.42857142857143,-0.5257142857142857,2.4312331948819264,2.051482969732608,7,AVOID
엔터테인먼트,4,17.857142857142858,71.42857142857143,-0.4578571428571428,2.075453130665585,1.092306584478115,28,AVOID
치매,4,18.181818181818183,70.9090909090909,-0.48472727272727273,3.291306480312595,1.026718815389831,55,AVOID
코로나19(진단키트),4,16.27906976744186,69.76744186046511,-0.45209302325581396,2.954338452187229,1.7951187682449052,43,AVOID
화폐/금융자동화기기(디지털화폐 등),4,23.076923076923077,69.23076923076923,-0.46769230769230763,0.7078579536544303,0.1392928806381311,13,AVOID
치아 치료(임플란트 등),4,15.384615384615385,69.23076923076923,-0.3646153846153846,0.6620276238765652,0.2108282867458881,13,AVOID
면역항암제,4,22.857142857142858,68.57142857142857,-0.45657142857142863,2.446616473526785,0.7632849689767238,35,AVOID
줄기세포,4,26.31578947368421,68.42105263157895,-0.37157894736842106,0.8211421040528479,0.1633856201461883,19,AVOID
메르스 코로나 바이러스,4,25.0,66.66666666666667,-0.41500000000000004,1.3275401223594907,0.450994699803971,24,AVOID
마스크,4,25.0,66.66666666666667,-0.3475,1.2492012301079685,0.2246181925287558,24,AVOID
"백신/진단시약/방역(신종플루, AI 등)",4,19.565217391304348,65.21739130434783,-0.48434782608695653,2.7078257712236904,0.7540285432091296,46,AVOID
코로나19(진단/치료제/백신 개발 등),4,21.794871794871796,64.1025641025641,-0.41461538461538466,6.0155908694014375,3.829724499374384,78,AVOID
증강현실(AR),4,10.526315789473685,63.1578947368421,-0.4336842105263158,1.2378983259863428,0.3583707791066818,19,AVOID
화장품,4,28.26086956521739,63.04347826086956,-0.3954347826086956,4.193739144842279,0.4961745157580908,92,AVOID
리모델링/인테리어,4,12.5,62.5,-0.46083333333333326,1.625961562774869,0.7551636785004475,24,AVOID
코로나19(치료제/백신 개발 등),4,21.875,62.5,-0.42249999999999993,2.1659145685061043,0.914174178628312,32,AVOID
농업,4,20.833333333333332,62.5,-0.27083333333333337,1.1375975701020895,0.0316434574702926,24,AVOID
모바일콘텐츠(스마트폰/태블릿PC),4,32.432432432432435,62.16216216216216,-0.372972972972973,1.9410015547925312,0.3239791997381083,37,AVOID
마이크로바이옴,4,23.80952380952381,61.904761904761905,-0.3047619047619048,1.600710633743147,0.7218738134583005,21,AVOID
마이코플라스마 폐렴,4,23.076923076923077,61.53846153846154,-0.3692307692307693,1.0004168102687394,0.5053160097174869,13,AVOID
음식료업종,4,18.840579710144926,60.869565217391305,-0.40608695652173915,3.922280443006773,0.6052406386480182,69,AVOID
테마파크,4,20.0,60.0,-0.42800000000000005,0.7902859771300593,0.5422232813534803,5,AVOID
탈 플라스틱(친환경/생분해성 등),4,30.0,60.0,-0.404,0.8638957322090345,0.1840356858436933,10,AVOID
미용기기,4,20.0,60.0,-0.37866666666666665,1.1041386951327308,0.4269563035313349,15,AVOID
의료기기,4,24.0,57.333333333333336,-0.3392,4.751974651748553,1.415165814309264,75,AVOID
제지,4,21.428571428571427,57.142857142857146,-0.45142857142857146,0.5337405845546107,0.3186009459437489,14,AVOID
조선기자재,4,18.91891891891892,56.75675675675676,-0.3535135135135135,3.383330186286217,1.615962489333299,37,AVOID
의료AI,4,26.08695652173913,56.52173913043478,-0.3791304347826087,1.3529572315944909,0.255567750949762,23,AVOID
리츠(REITs),4,34.78260869565217,56.52173913043478,-0.3130434782608696,1.6884273586555616,0.5342222332274125,23,AVOID
"스포츠행사 수혜(올림픽, 월드컵 등)",4,22.22222222222222,55.55555555555556,-0.4466666666666666,1.2300150309804854,0.4423686598923,9,AVOID
탈모 치료,4,29.62962962962963,55.55555555555556,-0.3400000000000001,1.4743980791112066,0.5318321370359376,27,AVOID
건강기능식품,4,31.48148148148148,55.55555555555556,-0.33185185185185184,2.5813968549205915,0.2009045696359828,54,AVOID
전기차 화재 방지(배터리 열폭주 등),4,30.303030303030305,54.54545454545455,-0.3090909090909092,1.7304092288578716,0.7371788722035049,33,AVOID
바이오시밀러(복제 바이오의약품),4,26.08695652173913,52.17391304347826,-0.3452173913043479,3.5195417822630084,2.4626599701303737,23,AVOID
골판지 제조,4,20.0,50.0,-0.40599999999999997,0.7904949985606783,0.1933070831246792,10,AVOID
피팅(관이음쇠)/밸브,4,12.5,50.0,-0.3675,2.4440495153285124,1.4098863105665742,8,AVOID
마이데이터,4,25.0,50.0,-0.3633333333333333,2.540714977576364,2.1474413585057093,12,AVOID
