Theme,Stocks,Last_Week_Fiedler,Week_Before_Fiedler,Change,Pct_Change,current_date
OLED(유기 발광 다이오드),88,4.577252935881308,2.2773355210266897,2.2999174148546184,100.99159274597132,2025-11-07
증권,26,4.034846175331504,2.24771916490102,1.787127010430484,79.50846521830415,2025-11-06
전기차,115,4.971560098126573,3.1926637938274416,1.7788963042991313,55.71824718087676,2025-11-06
