date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,0.2346333730014814,7,8,0.08726289395433567,True
2025-02-11,3.526740826483016e-17,7,6,0.015365573589733386,False
2025-02-18,4.794036587204811e-94,7,5,0.061341375515827024,False
2025-02-25,-6.633137215841845e-80,7,4,-0.009966290774481478,False
2025-03-05,3.498106445075136e-65,7,4,0.06970468893468677,False
2025-03-12,0.09762235362056673,7,7,0.12073281487657768,True
2025-03-19,2.3970182936024055e-94,7,6,0.15441768991646707,False
2025-03-26,0.24535110488916687,7,9,0.2163883321678034,True
2025-04-02,0.19554686548724093,7,9,0.12363149109395707,True
2025-04-09,1.5340917079055395e-92,7,8,0.17608316921487013,False
2025-04-16,0.6283333822464627,7,11,0.24424675467485313,True
2025-04-23,1.1331166295919825e-17,7,10,0.24679850148711202,False
2025-04-30,1.4382109761614433e-93,7,12,0.2620227148157484,False
2025-05-12,0.5348370377677486,7,11,0.12596441879279693,True
2025-05-19,0.7117015101393179,7,14,0.08171548940242197,True
2025-05-26,0.09349720087111449,7,7,0.0662931723460098,True
2025-06-02,0.4878735903631716,7,12,0.20282609050977174,True
2025-06-11,0.30789848858322916,7,13,0.26895715793866015,True
2025-06-18,0.5921488195874658,7,14,0.2635738751052751,True
2025-06-25,0.5201880508371932,7,13,0.2704849731367161,True
2025-07-02,1.2227778092040138,7,16,0.2571084814525583,True
2025-07-09,0.835050006530844,7,14,0.36485140608346667,True
2025-07-16,1.0122013907605834,7,15,0.38003059532880973,True
2025-07-23,1.261678359116463,7,17,0.39958362409953113,True
2025-07-30,0.7867918355421724,7,15,0.3792575615473368,True
2025-08-06,0.783135584576464,7,15,0.394032882828162,True
2025-08-13,1.2557609719674243,7,18,0.44124527304798566,True
2025-08-21,0.6774420796206574,7,14,0.4332887748886853,True
2025-08-28,1.9176146348819244e-93,7,14,0.42526288094792414,False
2025-09-04,0.2884624464730038,7,14,0.31910034785652314,True
2025-09-11,0.12843407055188893,7,9,0.21662121636337475,True
2025-09-18,0.2348337891873751,7,10,0.14578297024682815,True
2025-09-25,0.31945662816360154,7,10,0.21996142101463473,True
2025-10-02,0.5633478776864309,7,13,0.276635802899236,True
2025-10-16,0.860292104537196,7,14,0.3246062194038188,True
2025-10-23,4.794036587204811e-94,7,12,0.31320522704074677,False
2025-10-30,0.44013666529118073,7,16,0.3749167960434535,True
2025-11-06,0.6177427260903043,7,14,0.41882357518368113,True
2025-11-13,0.40141103557454766,7,12,0.41689893132445455,True
2025-11-20,1.3548798407346283,7,17,0.4311006944865314,True
2025-11-27,1.504676363111358,7,18,0.47950168553604394,True
2025-12-04,0.38710158313245124,7,14,0.4143395716304133,True
2025-12-11,1.3546527995584516,7,17,0.43018892635401734,True
2025-12-18,0.6142497962657634,7,14,0.31376641783632175,True
2025-12-26,0.2742832466973936,7,10,0.25208597257040555,True
2026-01-06,8.988818601009021e-95,7,10,0.2455773820985735,False
2026-01-13,0.13762255781783903,7,7,0.16831781993487743,True
2026-01-20,3.7784219315306816e-95,7,9,0.22182775371683375,False
2026-01-27,0.23218336710624524,7,10,0.209853838146832,True
2026-02-03,0.4616505163746284,7,9,0.22142025152730993,True
