theme,abnormality,fiedler_today,fiedler_baseline,fiedler_change,pct_change,num_stocks,stock_list
2차전지,LARGE_DECREASE,2.5191054944766904,76.53230550047398,-74.01320000599729,-96.70844164695772,158,"DI동일, HB테크놀러지, KG케미칼, LG, LG에너지솔루션, LG화학, PI첨단소재, POSCO홀딩스, SK, SKC"
2차전지(소재/부품),LARGE_DECREASE,0.5918305001368804,38.381621014761215,-37.789790514624336,-98.4580367256785,88,"DI동일, KG케미칼, LG, LG화학, PI첨단소재, POSCO홀딩스, SK, SKC, SK아이이테크놀로지, TCC스틸"
비철금속,LARGE_DECREASE,0.963893496161015,12.420992260414437,-11.457098764253422,-92.23980277942098,26,"DI동일, 고려아연, 국일신동, 그린플러스, 남선알미늄, 대양금속, 대창, 대호에이엘, 삼아알미늄, 서원"
건설 대표주,LARGE_DECREASE,0.9410059080000563,5.000000000000003,-4.0589940919999465,-81.17988183999888,9,"DL, DL이앤씨, GS, GS건설, HDC, HDC현대산업개발, 대우건설, 삼성물산, 현대건설"
GTX(수도권 광역급행철도),LARGE_DECREASE,0.5820786159142928,13.140999292511731,-12.558920676597438,-95.57051482191325,29,"DL, DL이앤씨, GS, GS건설, HDC, HDC현대산업개발, HJ중공업, HL D&I, 금호건설, 남광토건"
원자력발전,LARGE_DECREASE,1.8856124780850243,29.363771137447905,-27.47815865936288,-93.57843899116799,57,"DL, DL이앤씨, GS, GS건설, HRS, LS, LS ELECTRIC, SG, SG&G, SNT에너지"
두나무(Dunamu),LARGE_DECREASE,1.7791781446496069,6.6516697216846765,-4.87249157703507,-73.25215744177099,13,"DSC인베스트먼트, TS인베스트먼트, 네오위즈, 대성창투, 신성이엔지, 에이티넘인베스트, 우리기술, 우리기술투자, 카카오, 코오롱"
마켓컬리(kurly),"LARGE_DECREASE, DISCONNECTION",4.441229059320493e-16,2.8377466631361763,-2.837746663136176,-99.99999999999999,12,"DSC인베스트먼트, SK, SK네트웍스, 미래에셋벤처투자, 우양, 이씨에스, 지어소프트, 케이씨피드, 태경케미컬, 팜스코"
퓨리오사AI,"LARGE_DECREASE, DISCONNECTION",0.0,1.4659298032772683,-1.4659298032772683,-100.0,9,"DSC인베스트먼트, LB인베스트먼트, TS인베스트먼트, 나우IB, 아이티센글로벌, 엑스페릭스, 토마토시스템, 팬스타엔터프라이즈, 포바이포"
창투사,LARGE_DECREASE,2.9130670243815198,9.946597465154374,-7.0335304407728545,-70.71292937522824,21,"DSC인베스트먼트, HB인베스트먼트, LB인베스트먼트, SBI인베스트먼트, SV인베스트먼트, TS인베스트먼트, 나우IB, 대성창투, 린드먼아시아, 미래에셋벤처투자"
일자리(취업),LARGE_DECREASE,1.661244057013985,4.216890396470205,-2.5556463394562203,-60.6049979766003,9,"DSC인베스트먼트, TS인베스트먼트, 대성창투, 메가엠디, 사람인, 아이비김영, 오픈놀, 원티드랩, 윌비스"
철강 중소형,"LARGE_DECREASE, DISCONNECTION",0.0,22.40558294433656,-22.40558294433656,-100.0,41,"DSR제강, NI스틸, SK, SK오션플랜트, TCC스틸, 경남스틸, 금강공업, 금강철강, 넥스틸, 대동"
폐배터리,LARGE_DECREASE,2.9088663709629583,13.156342473718338,-10.24747610275538,-77.8900072206707,25,"DS단석, LG, LG에너지솔루션, NPC, POSCO홀딩스, SK, SK이노베이션, 나인테크, 동서, 새빗켐"
건강기능식품,"LARGE_DECREASE, DISCONNECTION",0.0,30.38171470369149,-30.38171470369149,-100.0,56,"DXVX, HK이노엔, HLB, HLB제약, KT, KT&G, LG, LG생활건강, 경남제약, 그래디언트"
메르스 코로나 바이러스,"LARGE_DECREASE, DISCONNECTION",-5.308945354523188e-16,11.32968915670762,-11.32968915670762,-100.0,24,"DXVX, PKC, 고려제약, 바이오니아, 빌리언스, 삼진, 삼진제약, 서린바이오, 에이프로, 에이프로젠"
마이코플라스마 폐렴,"LARGE_DECREASE, DISCONNECTION",0.0,4.913117788874064,-4.913117788874064,-100.0,12,"DXVX, 경동제약, 광동제약, 국전약품, 국제약품, 멕아이씨에스, 수젠텍, 위더스제약, 이씨에스, 인트론바이오"
