Theme,Stocks,Week_Before_Fiedler,Last_Week_Fiedler,Change,Pct_Change
온디바이스 AI,27,9.649092112215577,13.148863240337375,3.4997711281218,36.27047070771718
모바일솔루션(스마트폰),24,7.854873737290854,11.323584953709847,3.4687112164189937,44.15998693844508
쿠팡(coupang),23,8.339726413497136,11.621677801889325,3.281951388392189,39.35322606123662
인터넷은행,34,14.9344060848291,18.031593635289045,3.097187550459946,20.738605424732484
온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS),18,6.344242246690035,9.422216765158614,3.0779745184685794,48.51603073754699
폴더블폰,31,13.924670358185722,16.636110931175775,2.7114405729900533,19.47220654596044
리비안(RIVIAN),24,11.05982517397119,13.721624154423646,2.661798980452456,24.067278990240123
시멘트/레미콘,17,5.015418850508016,7.509598589198933,2.4941797386909164,49.73023815225879
유리 기판,21,7.959489288910984,10.171146337453177,2.211657048542192,27.7864190560999
STO(토큰증권 발행),29,9.983047291030552,12.1493762205187,2.166328929488145,21.70007680354797
드론(Drone),31,13.966286318093845,15.969456155785815,2.0031698376919724,14.342895398734532
