ticker,strategy,score,stage,themes,priority,regime,dev_bb_pct,trend_strength,momentum
에코프로에이치엔,Early Breakout (Transition),85,Early Breakout,[],HIGH,Transition,21.81,-0.0799999999999999,0.9516129032258064
솔브레인홀딩스,Early Breakout (Transition),85,Early Breakout,[],HIGH,Transition,12.63,-0.0199999999999999,0.9564220183486238
롯데케미칼,Early Breakout (Transition),82,Early Breakout,[],HIGH,Transition,7.49,-0.0199999999999999,0.9294605809128632
이지바이오,Early Breakout (Transition),82,Early Breakout,[],HIGH,Transition,7.88,0.04,0.8870292887029289
신흥에스이씨,Early Breakout (Transition),79,Early Breakout,"['전기차 화재 방지(배터리 열폭주 등)', '2차전지', '2차전지(소재/부품)', '전기차']",HIGH,Transition,4.31,-0.0799999999999999,0.8890942698706099
공구우먼,Early Breakout (Transition),79,Early Breakout,['패션/의류'],HIGH,Transition,4.04,-0.0799999999999999,0.8448275862068966
현우산업,Early Breakout (Transition),79,Early Breakout,['PCB(FPCB 등)'],HIGH,Transition,4.33,-0.0799999999999999,0.8744186046511628
미래에셋벤처투자,Super Trend (Bull Quiet),78,Super Trend,[],HIGH,Bull Quiet,10.35,0.3999999999999999,0.7628205128205128
스피어,Super Trend (Bull Quiet),78,Super Trend,[],HIGH,Bull Quiet,32.01,0.4599999999999999,0.8456577815993122
코메론,Early Breakout (Transition),78,Early Breakout,['철강 중소형'],HIGH,Transition,3.22,-0.0799999999999999,0.920265780730897
미래에셋증권,Super Trend (Bull Quiet),77,Super Trend,[],HIGH,Bull Quiet,11.36,0.4599999999999999,0.8613707165109035
나노팀,Super Trend (Bull Quiet),77,Super Trend,[],HIGH,Bull Quiet,28.41,0.4599999999999999,0.8360655737704918
영풍,Early Breakout (Transition),76,Early Breakout,"['비철금속', '아이폰']",HIGH,Transition,1.31,-0.0799999999999999,0.896139705882353
유니온바이오메트릭스,Early Breakout (Transition),75,Early Breakout,[],HIGH,Transition,0.94,0.04,0.8321428571428572
