theme,n_stocks,current_fiedler,historical_fiedler,fiedler_change,pct_change,current_date
OLED(유기 발광 다이오드),88,4.577252935881308,2.2773355210266897,2.2999174148546184,100.99159274597132,2025-11-07
수소차(연료전지/부품/충전소 등),83,3.5817030581988547,1.3141264610632772,2.2675765971355775,172.55391047379496,2025-11-06
유리 기판,21,3.0465065124862845,1.1646799156600385,1.881826596826246,161.57457268075166,2025-11-06
증권,26,4.034846175331504,2.24771916490102,1.787127010430484,79.50846521830415,2025-11-06
전기차,115,4.971560098126573,3.1926637938274416,1.7788963042991313,55.71824718087676,2025-11-06
코로나19(진단/치료제/백신 개발 등),82,3.133705168903497,1.7191940665795784,1.4145111023239185,82.27757004409388,2025-11-06
반도체 재료/부품,69,3.112716218462955,1.7747036458358267,1.3380125726271284,75.39357772587258,2025-11-06
보안주(정보),51,2.2146490634563074,0.8922563286773678,1.3223927347789397,148.20771702893748,2025-11-06
원격진료/비대면진료(U-Healthcare),23,1.791935016080955,0.4696039438928521,1.322331072188103,281.5843200179372,2025-11-06
전력저장장치(ESS),53,3.509581081568306,2.230911626535889,1.2786694550324174,57.3160065967251,2025-11-06
해운,6,2.64213137210629,1.3893489684839897,1.2527824036223,90.17046343578414,2025-11-06
지능형로봇/인공지능(AI),60,3.840800318901759,2.598957522466452,1.2418427964353072,47.782342947135916,2025-11-06
도시가스,9,2.2728042428673434,1.0345570318041837,1.2382472110631597,119.68863706853907,2025-11-06
자율주행차,62,2.1894601904748265,0.9533967014418678,1.2360634890329587,129.64839160483777,2025-11-07
코리아 밸류업 지수(Korea Value-up Index),118,7.348239736205475,6.140414519851269,1.2078252163542054,19.670092506775273,2025-11-07
자전거,4,1.259578326966472,0.07737934233642889,1.1821989846300431,1527.7966301265446,2025-11-06
의료기기,90,3.5670022217478112,2.413917457676524,1.1530847640712873,47.76819358111648,2025-11-07
전기차 화재 방지(배터리 열폭주 등),39,2.0086643969335096,0.8632411106272279,1.1454232863062819,132.6886859540345,2025-11-06
카지노,6,1.447141139963006,0.3390800942228669,1.1080610457401392,326.7844573063746,2025-11-06
4차산업 수혜주,45,1.8015445706880853,0.7356204483413434,1.065924122346742,144.9013719983122,2025-11-07
메타버스(Metaverse),54,3.437649928282647,2.371926509248103,1.0657234190345442,44.93070990518913,2025-11-06
수산,11,1.9203279747276345,0.9811249621531092,0.9392030125745253,95.7271549297263,2025-11-06
화장품,100,4.419201079232568,3.5050667023048767,0.9141343769276915,26.080370348631916,2025-11-06
밸류업(25년 기업가치 제고계획 발표),83,4.814528351683387,3.9348522995635573,0.8796760521198301,22.356011996114855,2025-11-06
황사/미세먼지,28,1.5057415986812193,0.6292198971181971,0.8765217015630221,139.30292185251255,2025-11-06
손해보험,10,1.9323669878445056,1.0826244363894273,0.8497425514550783,78.48913463370414,2025-11-06
네옴시티,29,2.19689536010235,1.3727522770467617,0.8241430830555885,60.035819778684996,2025-11-06
은행,11,1.9683579384279712,1.1545140018489792,0.813843936578992,70.4923400907744,2025-11-06
자동차부품,159,8.540969887764767,7.773440498581774,0.7675293891829931,9.873741097304663,2025-11-06
드론(Drone),31,2.322142749728377,1.5762922723312986,0.7458504773970784,47.316762918210806,2025-11-06
통신장비,48,2.3342222256555862,1.5923274974992094,0.7418947281563768,46.59184302987553,2025-11-06
AI 챗봇(챗GPT 등),30,1.3349824142034254,0.6107996671103787,0.7241827470930468,118.56305530077809,2025-11-06
토스(toss),7,1.2983193879253805,0.5830904913375833,0.7152288965877972,122.66173213476597,2025-11-06
풍력에너지,42,2.5671850982410533,1.8569193944564517,0.7102657037846016,38.249678790850645,2025-11-06
2차전지(소재/부품),88,2.540669129253204,1.8353952821149713,0.7052738471382327,38.42626457694324,2025-11-06
석유화학,22,2.151373890073629,1.4980451632102247,0.6533287268634043,43.61208479611912,2025-11-06
구제역/광우병 수혜,22,1.6017381406525315,0.9528740302277275,0.648864110424804,68.09547640517937,2025-11-06
사물인터넷,34,1.9939818367520088,1.3492385782072924,0.6447432585447164,47.78571180505189,2025-11-06
두나무(Dunamu),13,1.246378225373484,0.6378022333416582,0.6085759920318259,95.41766400586177,2025-11-06
야놀자(Yanolja),6,1.7955798971709505,1.2016448009213367,0.5939350962496137,49.42684358923919,2025-11-06
항공기부품,16,0.8970722184711502,0.32149848648984575,0.5755737319813043,179.02844217572493,2025-11-06
건설 대표주,9,1.8182836713845023,1.24873125658248,0.5695524148020223,45.6104875888804,2025-11-06
소매유통,24,1.480810050985716,0.9257312355404878,0.5550788154452283,59.961119829898124,2025-11-06
폐기물처리,5,0.8907922133993902,0.35276396620640815,0.538028247192982,152.51791530152278,2025-11-06
태풍 및 장마,11,1.0275995512737244,0.5294730972225765,0.49812645405114786,94.0796532749517,2025-11-06
여름,30,1.813542543493868,1.31651766677472,0.49702487671914786,37.75299711220646,2025-11-06
치매,55,2.6295329818829485,2.137141246224616,0.4923917356583325,23.039737618099462,2025-11-06
HBM(고대역폭메모리),35,1.3726779725064535,0.887047647252886,0.48563032525356753,54.746813968508334,2025-11-07
마켓컬리(kurly),12,0.9926087421959296,0.51792561359394,0.4746831286019897,91.65083095777284,2025-11-06
그래핀,14,0.5798706453824958,0.14604085311262605,0.43382979226986973,297.06057108232733,2025-11-06
日 수출 규제(국산화 등),23,1.6257735016465495,1.202168920450911,0.4236045811956386,35.23669377817158,2025-11-06
남북경협,29,1.5665454444075544,1.158550015531257,0.4079954288762975,35.21603930834266,2025-11-06
