theme,n_stocks,current_fiedler,historical_fiedler,fiedler_change,pct_change,current_date
2차전지,162,6.451566464707704,4.517894462651419,1.9336720020562854,42.80029155265992,2026-01-12
은행,11,3.181221949308978,1.266472016769741,1.914749932539237,151.18770151929542,2026-01-13
의료기기,94,5.130011504350085,3.2621471684083807,1.8678643359417042,57.25873909156114,2026-01-15
지주사,157,9.924447526677104,8.091083056783132,1.8333644698939722,22.659073662047966,2026-01-13
코로나19(진단/치료제/백신 개발 등),83,3.6333487862404046,2.118563025616105,1.5147857606242994,71.50062293680314,2026-01-13
방위산업/전쟁 및 테러,61,3.4480049852588,2.002470478181237,1.445534507077563,72.18755646227972,2026-01-13
우크라이나 재건,40,2.732047392652701,1.587338371273814,1.144709021378887,72.11499716095669,2026-01-13
통신장비,49,2.795811516408569,1.7158783222703677,1.079933194138201,62.93763258861418,2026-01-13
로봇(산업용/협동로봇 등),67,3.619846551080364,2.555159087275278,1.064687463805086,41.668147752804984,2026-01-12
4차산업 수혜주,45,2.9229231553238866,1.903098521830318,1.0198246334935686,53.58759001676619,2026-01-14
코로나19(진단키트),47,2.0356731261103174,1.1047301115719501,0.9309430145383673,84.26881867225502,2026-01-13
전기차 화재 방지(배터리 열폭주 등),39,1.7576103459295809,0.9538078219980836,0.8038025239314973,84.27300609127447,2026-01-13
5G(5세대 이동통신),59,3.3814737872327223,2.581908678046636,0.7995651091860863,30.96798566055418,2026-01-14
LED,44,1.8667255071879636,1.1611865924077727,0.7055389147801909,60.76016717668297,2026-01-14
렌터카,4,0.8560999676181198,0.1699847060810321,0.6861152615370877,403.63352524786256,2026-01-20
NI(네트워크통합),7,1.033210246099966,0.3619326357625272,0.6712776103374387,185.47031795659353,2026-01-13
리츠(REITs),25,1.7971211378297576,1.1262458596253127,0.6708752782044449,59.567391300123084,2026-01-13
의료AI,31,1.705950319326322,1.0816162039499604,0.6243341153763615,57.72233377203043,2026-01-13
전기차,116,4.533892397296563,3.924396473162132,0.6094959241344307,15.530946689576492,2026-01-15
미용기기,20,1.2699239688527932,0.6696105761114759,0.6003133927413173,89.6511217351767,2026-01-22
구제역/광우병 수혜,22,1.5980719974510127,1.0108666291918402,0.5872053682591725,58.0893019219189,2026-01-20
도시가스,9,2.1091259581454462,1.5239002334780622,0.585225724667384,38.40315211001041,2026-01-13
