ticker,strategy,score,stage,themes,priority,regime,dev_bb_pct,trend_strength,momentum
아이컴포넌트,Early Breakout (Transition),85,Early Breakout,[],HIGH,Transition,12.88,-0.0799999999999999,0.9366197183098592
플레이그램,Early Breakout (Transition),85,Early Breakout,[],HIGH,Transition,182.82,-0.08,1.0
파두,Early Breakout (Transition),85,Early Breakout,[],HIGH,Transition,53.43,0.0999999999999998,0.9894551845342706
나노,Early Breakout (Transition),82,Early Breakout,[],HIGH,Transition,7.65,-0.0799999999999999,0.8711340206185567
하나금융지주,Super Trend (Bull Quiet),80,Super Trend,[],HIGH,Bull Quiet,10.14,0.76,0.9147058823529411
SK텔레콤,Super Trend (Bull Quiet),80,Super Trend,[],HIGH,Bull Quiet,14.64,0.5799999999999998,0.830379746835443
인바디,Early Breakout (Transition),79,Early Breakout,[],HIGH,Transition,4.12,-0.0199999999999999,0.9031413612565444
아주IB투자,Super Trend (Bull Quiet),79,Super Trend,[],HIGH,Bull Quiet,31.03,0.5799999999999998,0.8662068965517241
영원무역,Early Breakout (Transition),78,Early Breakout,[],HIGH,Transition,3.74,-0.0799999999999999,0.8137860082304527
이화산업,Early Breakout (Transition),78,Early Breakout,[],HIGH,Transition,3.26,-0.0199999999999999,0.8344594594594594
신한지주,Super Trend (Bull Quiet),77,Super Trend,[],HIGH,Bull Quiet,7.8,0.5199999999999998,0.8896321070234113
세이브존I&C,Early Breakout (Transition),77,Early Breakout,[],HIGH,Transition,2.58,-0.0799999999999999,0.8693693693693694
동운아나텍,Early Breakout (Transition),76,Early Breakout,[],HIGH,Transition,1.72,-0.0799999999999999,0.8624338624338624
현대해상,Early Breakout (Transition),76,Early Breakout,[],HIGH,Transition,1.41,-0.0799999999999999,0.901685393258427
DN오토모티브,Early Breakout (Transition),76,Early Breakout,[],HIGH,Transition,1.61,-0.0799999999999999,0.8532338308457712
KT,Super Trend (Bull Quiet),75,Super Trend,[],HIGH,Bull Quiet,5.22,0.6399999999999999,0.8507462686567164
한국금융지주,Super Trend (Bull Quiet),73,Super Trend,[],HIGH,Bull Quiet,9.69,0.5799999999999998,0.8568642745709828
비츠로시스,Super Trend (Bull Quiet),73,Super Trend,[],HIGH,Bull Quiet,14.24,0.5199999999999998,0.8436363636363636
JB금융지주,Super Trend (Bull Quiet),73,Super Trend,[],HIGH,Bull Quiet,5.98,0.5799999999999998,0.9307228915662652
KB금융,Super Trend (Bull Quiet),73,Super Trend,[],HIGH,Bull Quiet,6.81,0.5199999999999998,0.849680170575693
SK,Super Trend (Bull Quiet),72,Super Trend,[],HIGH,Bull Quiet,2.51,0.5799999999999998,0.8106796116504854
현대ADM,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,22.22,0.5799999999999998,0.8714710252600297
BYC,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,10.44,0.5799999999999998,0.8410138248847926
