Theme,Stocks,Last_Week_Fiedler,Week_Before_Fiedler,Change,Pct_Change,current_date
수소차(연료전지/부품/충전소 등),83,3.5817030581988547,1.3141264610632772,2.267576597135577,172.55391047379496,2025-11-06
유리 기판,21,3.0465065124862845,1.1646799156600385,1.881826596826246,161.57457268075166,2025-11-06
보안주(정보),51,2.2146490634563074,0.8922563286773678,1.3223927347789397,148.20771702893748,2025-11-06
4차산업 수혜주,45,1.8015445706880853,0.7356204483413434,1.065924122346742,144.9013719983122,2025-11-07
전기차 화재 방지(배터리 열폭주 등),39,2.0086643969335096,0.8632411106272279,1.145423286306282,132.6886859540345,2025-11-06
자율주행차,62,2.1894601904748265,0.9533967014418678,1.2360634890329587,129.64839160483777,2025-11-07
도시가스,9,2.2728042428673434,1.0345570318041837,1.2382472110631595,119.68863706853908,2025-11-06
해운,6,2.64213137210629,1.3893489684839897,1.2527824036223,90.17046343578414,2025-11-06
코로나19(진단/치료제/백신 개발 등),82,3.133705168903497,1.7191940665795784,1.4145111023239183,82.27757004409388,2025-11-06
반도체 재료/부품,69,3.112716218462955,1.7747036458358267,1.3380125726271284,75.39357772587258,2025-11-06
