Theme,Stocks,Week_Before_Fiedler,Last_Week_Fiedler,Change,Pct_Change
해운,6,2.0000000000000018,6.0,3.9999999999999982,199.99999999999972
조림사업,12,3.7848950004652058,7.348906591062829,3.5640115905976235,94.164080910027
아스콘(아스팔트 콘크리트),10,2.7856802566224674,4.999999999999999,2.214319743377532,79.48937205242325
생명보험,7,4.000000000000001,6.9999999999999964,2.999999999999996,74.99999999999987
공기청정기,13,3.745626218102624,6.299107584685407,2.553481366582784,68.17234870478532
편의점,7,3.0000000000000018,5.000000000000001,1.9999999999999991,66.6666666666666
화이자(PFIZER),5,3.000000000000001,4.999999999999996,1.999999999999995,66.66666666666647
"구충제(펜벤다졸, 이버멕틴 등)",11,3.0000000000000027,4.9773444091360615,1.9773444091360588,65.91148030453523
탈 플라스틱(친환경/생분해성 등),10,4.438447187191164,7.000000000000004,2.56155281280884,57.712814972794526
시멘트/레미콘,17,5.015418850508016,7.509598589198933,2.4941797386909164,49.73023815225879
온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS),18,6.344242246690035,9.422216765158614,3.0779745184685794,48.51603073754699
모바일솔루션(스마트폰),24,7.854873737290854,11.323584953709847,3.4687112164189937,44.15998693844508
수산,11,4.880852914304279,6.653683455521178,1.7728305412168988,36.3221464023486
음원/음반,17,5.362235101917992,7.216583291261975,1.854348189343983,34.581627886489166
