Theme,Total_Stocks,Large_Cap_Bull_%,Rest_Bull_%,Leadership_Gap,Large_Cap_Trend,Rest_Trend,Trend_Gap,Large_Cap_Momentum,Rest_Momentum,Momentum_Gap,Large_Cap_Total_Cap,Theme_Total_Cap
비만치료제,30,0.0%,11.1%,-11.1%,-0.460,-0.584,0.124,-0.141,0.052,-0.193,0.0T,0.0T
의료기기,67,0.0%,12.5%,-12.5%,-0.853,-0.603,-0.251,0.167,0.096,0.070,0.0T,0.0T
"백신/진단시약/방역(신종플루, AI 등)",42,0.0%,12.8%,-12.8%,-0.260,-0.701,0.441,-0.007,0.003,-0.010,0.0T,0.0T
면역항암제,33,0.0%,13.3%,-13.3%,-0.800,-0.562,-0.238,-0.317,0.033,-0.350,0.0T,0.0T
코로나19(진단/치료제/백신 개발 등),69,0.0%,13.6%,-13.6%,-0.753,-0.682,-0.071,-0.010,-0.036,0.026,0.0T,0.0T
코로나19(진단키트),37,0.0%,14.7%,-14.7%,-0.987,-0.744,-0.243,0.550,-0.087,0.637,0.0T,0.0T
마이크로바이옴,16,0.0%,15.4%,-15.4%,-0.980,-0.794,-0.186,-0.137,-0.225,0.089,0.0T,0.0T
뉴로모픽 반도체,5,33.3%,50.0%,-16.7%,0.000,0.130,-0.130,-0.027,0.672,-0.699,0.0T,0.0T
유전자 치료제/분석,31,0.0%,17.9%,-17.9%,-0.693,-0.648,-0.045,0.343,-0.059,0.402,0.0T,0.0T
보안주(정보),41,0.0%,21.1%,-21.1%,-0.507,-0.427,-0.079,-0.232,-0.126,-0.106,0.0T,0.0T
UAM(도심항공모빌리티),21,0.0%,22.2%,-22.2%,-0.040,-0.439,0.399,-0.101,0.232,-0.334,0.0T,0.0T
페라이트,15,0.0%,33.3%,-33.3%,-0.187,-0.287,0.100,0.148,0.157,-0.009,0.0T,0.0T
자동차 대표주,6,33.3%,66.7%,-33.3%,0.120,0.260,-0.140,0.799,0.860,-0.061,0.0T,0.0T
