date,month_label,theme,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-01-31,2025-01,마켓컬리(kurly),0.9117086627862846,12,33,0.20213708830302624,True
2025-01-31,2025-01,퓨리오사AI,2.9275227523092364,9,28,0.4012327816055199,True
2025-01-31,2025-01,창투사,3.5733871837026627,21,145,0.37758978518691916,True
2025-01-31,2025-01,일자리(취업),8.999999999999998,9,36,0.6492811333626487,True
2025-01-31,2025-01,철강 중소형,3.565618786713464,41,457,0.26559898470047283,True
2025-01-31,2025-01,폐배터리,6.677153867474488,25,223,0.3702337111091123,True
2025-01-31,2025-01,건강기능식품,2.748281602533644,56,520,0.14466781352834443,True
2025-01-31,2025-01,메르스 코로나 바이러스,0.9862191084145195,24,195,0.3388806403843443,True
2025-01-31,2025-01,마이코플라스마 폐렴,1.985276891625841,12,53,0.4363265225817483,True
2025-01-31,2025-01,비만치료제,3.351690070674583,39,499,0.345307599236693,True
2025-01-31,2025-01,수소차(연료전지/부품/충전소 등),1.8919416217063763,82,2282,0.33656309543702945,True
2025-01-31,2025-01,LPG(액화석유가스),1.9732348071094772,10,35,0.3786363308789683,True
2025-01-31,2025-01,셰일가스(Shale Gas),1.672745078218634,14,56,0.2903251473019523,True
2025-01-31,2025-01,가상현실(VR),0.9505172635015898,34,289,0.2520552171031889,True
2025-01-31,2025-01,2차전지(LFP/리튬인산철),3.8316478654386885,15,71,0.3308591694000702,True
2025-01-31,2025-01,페라이트,0.0,16,80,,False
2025-01-31,2025-01,희귀금속(희토류 등),0.0,17,81,0.3131545386952602,False
2025-01-31,2025-01,쿠팡(coupang),2.7736799715860077,23,173,0.3078238206192398,True
2025-01-31,2025-01,리츠(REITs),1.9611660993773519,24,177,0.31158126479623954,True
2025-01-31,2025-01,NFT(대체불가토큰),0.0,22,114,,False
2025-01-31,2025-01,가상화폐(비트코인 등),0.0,31,190,0.22044761678522745,False
2025-01-31,2025-01,광고,1.8495103364123828,26,188,0.2878131148099637,True
2025-01-31,2025-01,코로나19(음압병실/음압구급차),2.9999999999999996,7,18,0.36358275444895943,True
2025-01-31,2025-01,카지노,6.0,6,15,0.48817729514748937,True
2025-01-31,2025-01,국내 상장 중국기업,0.0,13,40,0.2547337906170885,False
2025-01-31,2025-01,인터넷은행,0.9708841798673402,34,287,0.25067418327401164,True
2025-01-31,2025-01,호텔/리조트,1.6652344176216651,16,58,0.24389530335451812,True
2025-01-31,2025-01,자원개발,1.932075907281263,16,87,0.3402807025862991,True
2025-01-31,2025-01,콜드체인(저온 유통),2.5619634844837397e-17,14,35,0.19986138978471327,True
2025-01-31,2025-01,종합상사,3.7309900619466285,13,53,0.32854115277277907,True
2025-01-31,2025-01,UAM(도심항공모빌리티),0.960904984634607,30,188,0.2226370959875828,True
2025-01-31,2025-01,모듈러주택,0.891027573828381,11,29,0.3321190080240516,True
2025-01-31,2025-01,윤활유,2.7639320225002106,8,22,0.39072135941374647,True
2025-01-31,2025-01,정유,4.0,4,6,0.5254263106267787,True
