theme,tier,signal_type_tier,signal_type_cohesion,signal_type_leadership,signal_type_combined,signal_strength,is_tier1,is_tier2,leadership_gap,current_fiedler,week_before_fiedler,fiedler_change,fiedler_pct_change,day_of_week,day_of_month,month,quarter,is_month_end,is_quarter_end,n_stocks,meta_label,meta_label_status,confidence
셰일가스(Shale Gas),4,0,0,0,0,0,0,0,,1.129333002002464,0.7500125694235685,0.3793204325788953,50.57521007553604,1,3,2,1,0,0,14,0,FILTERED,0.49695203
뉴로모픽 반도체,4,0,0,0,0,0,0,0,,1.0477825307288342,0.7016354493298382,0.3461470813989959,49.33432051211434,1,3,2,1,0,0,7,0,FILTERED,0.15012394
리비안(RIVIAN),4,0,0,0,0,0,0,0,,1.4318079849377732,1.0873947229942489,0.3444132619435245,31.673251181056735,1,3,2,1,0,0,24,0,FILTERED,0.09088661
비만치료제,4,0,0,0,0,0,0,0,,1.9386413192896512,1.6264770106947546,0.3121643085948966,19.192666514330547,1,3,2,1,0,0,40,0,FILTERED,0.2884651
카지노,4,0,0,0,0,0,0,0,,0.7709174933011232,0.4644043529963468,0.3065131403047764,66.00134954100818,1,3,2,1,0,0,6,0,FILTERED,0.041211523
보톡스(보툴리눔톡신),4,0,0,0,0,0,0,0,,0.9060050819907082,0.6011843144091363,0.3048207675815718,50.703380024337406,1,3,2,1,0,0,14,0,FILTERED,0.49695203
로봇(산업용/협동로봇 등),4,0,0,0,0,0,0,0,,2.840668532719016,2.544070366549456,0.2965981661695598,11.65841047753087,1,3,2,1,0,0,67,0,FILTERED,0.2884651
DMZ 평화공원,4,0,0,0,0,0,0,0,,0.9154799366480671,0.6273831560947912,0.2880967805532759,45.92038816383962,1,3,2,1,0,0,19,0,FILTERED,0.30048132
유전자 치료제/분석,4,0,0,0,0,0,0,0,,2.176723784540734,1.9026473495198355,0.2740764350208988,14.405004431854731,1,3,2,1,0,0,46,0,FILTERED,0.2884651
리츠(REITs),4,0,0,0,0,0,0,0,,1.4184710548696282,1.148142204707128,0.2703288501625001,23.54489270181096,1,3,2,1,0,0,25,0,FILTERED,0.4074155
"백신/진단시약/방역(신종플루, AI 등)",4,0,0,0,0,0,0,0,,2.218570459821228,1.951021967720656,0.2675484921005717,13.713248570601378,1,3,2,1,0,0,49,0,FILTERED,0.2884651
블록체인,4,0,0,0,0,0,0,0,,1.4052423536395953,1.1420512377138836,0.2631911159257116,23.045473550955386,1,3,2,1,0,0,25,0,FILTERED,0.2884651
웹툰,4,0,0,0,0,0,0,0,,1.0355071689597246,0.7810332172595047,0.2544739517002199,32.581706651750366,1,3,2,1,0,0,18,0,FILTERED,0.09088661
온디바이스 AI,4,0,0,0,0,0,0,0,,2.131479783707455,1.898747242074813,0.232732541632642,12.257162853246797,1,3,2,1,0,0,28,0,FILTERED,0.2884651
보안주(물리),4,0,0,0,0,0,0,0,,0.709089194048256,0.4835143630618537,0.2255748309864022,46.65318100541007,1,3,2,1,0,0,20,0,FILTERED,0.15012394
퓨리오사AI,4,0,0,0,0,0,0,0,,1.014130382801702,0.8101696572770657,0.2039607255246364,25.175063481164777,1,3,2,1,0,0,10,0,FILTERED,0.4074155
정유,4,0,0,0,0,0,0,0,,1.292509737354974,1.096242452766836,0.1962672845881381,17.90363838699859,1,3,2,1,0,0,4,0,FILTERED,0.2884651
스마트그리드(지능형전력망),4,0,0,0,0,0,0,0,,1.1158310609783992,0.9216314628745952,0.1941995981038039,21.07128564145258,1,3,2,1,0,0,22,0,FILTERED,0.2884651
전기차 화재 방지(배터리 열폭주 등),4,0,0,0,0,0,0,0,,1.5045989357233047,1.324081062574814,0.1805178731484906,13.633445734618,1,3,2,1,0,0,39,0,FILTERED,0.2884651
