tickers,market,name,naverTheme,-1,0,1,mmt
180400,KOSDAQ,DXVX,"['비만치료제', '건강기능식품', '마이크로바이옴', '마이코플라스마 폐렴', '메르스 코로나 바이러스']",0.998,0.001,0.001,dn/dnk
92780,KOSPI,DYP,"['자동차부품', '수소차(연료전지/부품/충전소 등)']",,,,
17940,KOSPI,E1,"['셰일가스(Shale Gas)', 'LPG(액화석유가스)']",0.0,0.002,0.998,dn/dnk
418620,KOSDAQ,E8,['가상현실(VR)'],,,,
37370,KOSDAQ,EG,"['2차전지(LFP/리튬인산철)', '희귀금속(희토류 등)', '수소차(연료전지/부품/충전소 등)', '페라이트']",0.064,0.934,0.002,dn/dnk
365550,KOSPI,ESR켄달스퀘어리츠,"['리츠(REITs)', '쿠팡(coupang)']",0.042,0.958,0.0,dn/dnk
383220,KOSPI,F&F,"['코리아 밸류업 지수(Korea Value-up Index)', '밸류업(25년 기업가치 제고계획 발표)', '패션/의류', '지주사']",0.0,,1.0,dn/dnk
7700,KOSPI,F&F홀딩스,['지주사'],0.001,0.197,0.802,dn/dnk
214270,KOSDAQ,FSN,"['NFT(대체불가토큰)', '광고', '가상화폐(비트코인 등)']",0.166,0.259,0.574,dn/dnk
130500,KOSDAQ,GH신소재,"['자동차부품', '코로나19(음압병실/음압구급차)']",0.344,0.375,0.281,dn/dnk
114090,KOSPI,GKL,['카지노'],0.006,0.012,0.982,dn/dnk
900290,KOSDAQ,GRT,['국내 상장 중국기업'],0.001,0.982,0.018,dn/dnk
78930,KOSPI,GS,"['정유', '종합상사', '자원개발', 'UAM(도심항공모빌리티)', '윤활유', 'LNG(액화천연가스)', '인터넷은행', '건설 대표주', '소매유통', '냉각시스템(액침냉각 등)', '홈쇼핑', '밸류업(25년 기업가치 제고계획 발표)', '모듈러주택', 'LPG(액화석유가스)', '지주사', '콜드체인(저온 유통)', '수자원(양적/질적 개선)', 'GTX(수도권 광역급행철도)', '원자력발전', '호텔/리조트', '반도체 장비', '편의점']",0.002,0.093,0.905,dn/dnk
83450,KOSDAQ,GST,"['냉각시스템(액침냉각 등)', '콜드체인(저온 유통)', '반도체 장비']",0.0,0.002,0.998,dn/dnk
6360,KOSPI,GS건설,"['건설 대표주', '모듈러주택', '수자원(양적/질적 개선)', 'GTX(수도권 광역급행철도)', '원자력발전']",0.0,0.002,0.998,dn/dnk
1250,KOSPI,GS글로벌,"['종합상사', '자원개발']",0.003,0.965,0.032,dn/dnk
7070,KOSPI,GS리테일,"['인터넷은행', '소매유통', '홈쇼핑', '편의점']",0.006,0.43,0.564,dn/dnk
499790,KOSPI,GS피앤엘,"['지주사', '호텔/리조트']",,,,
297890,KOSDAQ,HB솔루션,"['플렉서블 디스플레이', 'OLED(유기 발광 다이오드)']",1.0,,0.0,dn/dnk
440290,KOSDAQ,HB인베스트먼트,['창투사'],,,,
78150,KOSDAQ,HB테크놀러지,"['2차전지(장비)', '2차전지', '유리 기판', 'OLED(유기 발광 다이오드)']",0.989,0.011,0.0,dn/dnk
225530,KOSDAQ,HC보광산업,"['아스콘(아스팔트 콘크리트)', '시멘트/레미콘']",,,,
60560,KOSDAQ,HC홈센타,"['아스콘(아스팔트 콘크리트)', '시멘트/레미콘', '4대강 복원']",,,,
12630,KOSPI,HDC,"['스마트홈(홈네트워크)', '건설 대표주', '자동차부품', '철도', '면세점', '지주사', 'GTX(수도권 광역급행철도)', '재난/안전(지진/화재 등)', '호텔/리조트', '사물인터넷']",0.001,0.074,0.924,dn/dnk
39570,KOSPI,HDC랩스,"['스마트홈(홈네트워크)', '철도', '사물인터넷']",0.0,0.0,1.0,dn/dnk
89470,KOSPI,HDC현대EP,"['자동차부품', '재난/안전(지진/화재 등)']",0.0,0.0,0.999,dn/dnk
294870,KOSPI,HDC현대산업개발,"['건설 대표주', 'GTX(수도권 광역급행철도)', '호텔/리조트']",0.0,0.005,0.995,dn/dnk
9540,KOSPI,HD한국조선해양,"['조선', 'LNG(액화천연가스)', '방위산업/전쟁 및 테러', '밸류업(24년 기업가치 제고계획 발표)', '지주사']",0.0,0.0,1.0,dn/dnk
267250,KOSPI,HD현대,"['조선', '조선기자재', 'LNG(액화천연가스)', '코리아 밸류업 지수(Korea Value-up Index)', '전력저장장치(ESS)', '밸류업(24년 기업가치 제고계획 발표)', '태양광에너지', '지주사', '건설기계', '우크라이나 재건', '전력설비']",0.001,0.032,0.966,dn/dnk
267270,KOSPI,HD현대건설기계,"['밸류업(24년 기업가치 제고계획 발표)', '건설기계', '우크라이나 재건']",0.002,0.121,0.877,dn/dnk
443060,KOSPI,HD현대마린솔루션,"['조선기자재', '밸류업(24년 기업가치 제고계획 발표)']",,,,
71970,KOSPI,HD현대마린엔진,['조선기자재'],,,,
322000,KOSPI,HD현대에너지솔루션,"['전력저장장치(ESS)', '태양광에너지']",0.0,0.0,1.0,dn/dnk
42670,KOSPI,HD현대인프라코어,"['LNG(액화천연가스)', '코리아 밸류업 지수(Korea Value-up Index)', '밸류업(24년 기업가치 제고계획 발표)', '건설기계', '우크라이나 재건']",0.0,0.0,1.0,dn/dnk
267260,KOSPI,HD현대일렉트릭,"['코리아 밸류업 지수(Korea Value-up Index)', '전력저장장치(ESS)', '밸류업(24년 기업가치 제고계획 발표)', '전력설비']",0.0,0.003,0.997,dn/dnk
329180,KOSPI,HD현대중공업,"['조선', 'LNG(액화천연가스)', '밸류업(24년 기업가치 제고계획 발표)']",0.0,0.003,0.997,dn/dnk
376270,KOSDAQ,HEM파마,['마이크로바이옴'],,,,
97230,KOSPI,HJ중공업,"['조선', 'LNG(액화천연가스)', '방위산업/전쟁 및 테러', 'GTX(수도권 광역급행철도)']",0.012,0.97,0.018,dn/dnk
195940,KOSDAQ,HK이노엔,"['비만치료제', '제약업체', '밸류업(24년 기업가치 제고계획 발표)', '건강기능식품', '엠폭스(원숭이두창)', '음식료업종']",,,,dn/dnk
14790,KOSPI,HL D&I,"['GTX(수도권 광역급행철도)', '건설 중소형']",0.003,0.847,0.15,dn/dnk
28300,KOSDAQ,HLB,"['마리화나(대마)', '고령화 사회(노인복지)', '비만치료제', '유전자 치료제/분석', '제약업체', '면역항암제', '줄기세포', '의료기기', '치매', '반도체 재료/부품', '콜드체인(저온 유통)', '코로나19(진단/치료제/백신 개발 등)', '화장품', '건강기능식품', '마이크로바이옴', '코로나19(진단키트)']",0.975,0.024,0.001,dn/dnk
3580,KOSPI,HLB글로벌,['화장품'],0.998,0.002,0.0,dn/dnk
278650,KOSDAQ,HLB바이오스텝,['마리화나(대마)'],0.956,0.039,0.005,dn/dnk
67630,KOSDAQ,HLB생명과학,"['줄기세포', '의료기기']",0.512,0.486,0.002,dn/dnk
24850,KOSDAQ,HLB이노베이션,['반도체 재료/부품'],0.999,0.001,0.0,dn/dnk
187420,KOSDAQ,HLB제넥스,"['유전자 치료제/분석', '코로나19(진단/치료제/백신 개발 등)', '마이크로바이옴', '코로나19(진단키트)']",,,,
47920,KOSDAQ,HLB제약,"['고령화 사회(노인복지)', '비만치료제', '제약업체', '치매', '건강기능식품']",0.004,0.972,0.023,dn/dnk
115450,KOSDAQ,HLB테라퓨틱스,['콜드체인(저온 유통)'],0.206,0.785,0.009,dn/dnk
46210,KOSDAQ,HLB파나진,['유전자 치료제/분석'],0.995,0.004,0.0,dn/dnk
196300,KOSDAQ,HLB펩,"['비만치료제', '화장품']",,,,
204320,KOSPI,HL만도,"['로봇(산업용/협동로봇 등)', '자동차 대표주', '자율주행차', '리비안(RIVIAN)', '자동차부품', '전기차', '스마트카(SMART CAR)']",0.003,0.93,0.068,dn/dnk
60980,KOSPI,HL홀딩스,"['자동차부품', '밸류업(24년 기업가치 제고계획 발표)', '지주사']",0.0,0.005,0.995,dn/dnk
11200,KOSPI,HMM,"['코리아 밸류업 지수(Korea Value-up Index)', '밸류업(25년 기업가치 제고계획 발표)', '해운']",0.005,0.485,0.51,dn/dnk
403870,KOSDAQ,HPSP,"['온디바이스 AI', '코리아 밸류업 지수(Korea Value-up Index)', '반도체 장비']",,,,dn/dnk
36640,KOSDAQ,HRS,"['재난/안전(지진/화재 등)', '원자력발전']",0.634,0.262,0.104,dn/dnk
35000,KOSPI,HS애드,"['밸류업(25년 기업가치 제고계획 발표)', '광고']",0.0,0.005,0.994,dn/dnk
2460,KOSPI,HS화성,['건설 중소형'],0.116,0.029,0.855,dn/dnk
487570,KOSPI,HS효성,"['타이어', '자동차부품', '수소차(연료전지/부품/충전소 등)', '지주사']",,,,
298050,KOSPI,HS효성첨단소재,"['타이어', '자동차부품', '수소차(연료전지/부품/충전소 등)']",,,,
467930,KOSDAQ,IBKS제23호스팩,['기업인수목적회사(SPAC)'],,,,dn/dnk
469480,KOSDAQ,IBKS제24호스팩,['기업인수목적회사(SPAC)'],,,,
15360,KOSPI,INVENI,"['지주사', '겨울', '도시가스']",,,,
95340,KOSDAQ,ISC,"['밸류업(24년 기업가치 제고계획 발표)', '반도체 재료/부품', '지주사']",0.005,0.623,0.372,dn/dnk
175330,KOSPI,JB금융지주,"['코리아 밸류업 지수(Korea Value-up Index)', '밸류업(25년 기업가치 제고계획 발표)', '밸류업(24년 기업가치 제고계획 발표)', '지주사', '은행']",0.0,0.0,1.0,dn/dnk
950170,KOSDAQ,JTC,['면세점'],0.009,0.605,0.386,dn/dnk
234080,KOSPI,JW생명과학,['제약업체'],0.05,0.26,0.69,dn/dnk
67290,KOSDAQ,JW신약,"['탈모 치료', '제약업체']",0.0,0.114,0.886,dn/dnk
1060,KOSPI,JW중외제약,"['황사/미세먼지', '고령화 사회(노인복지)', '제약업체', '코리아 밸류업 지수(Korea Value-up Index)', '밸류업(25년 기업가치 제고계획 발표)', '코로나19(치료제/백신 개발 등)', '코로나19(진단/치료제/백신 개발 등)', '마스크']",0.001,0.947,0.053,dn/dnk
96760,KOSPI,JW홀딩스,['지주사'],0.002,0.004,0.994,dn/dnk
35900,KOSDAQ,JYP Ent.,"['음원/음반', '엔터테인먼트', '코리아 밸류업 지수(Korea Value-up Index)', '영상콘텐츠']",0.0,,1.0,dn/dnk
8970,KOSPI,KBI동양철관,"['강관업체(Steel pipe)', '남-북-러 가스관사업', '철강 중소형', '수자원(양적/질적 개선)']",,,,
24840,KOSDAQ,KBI메탈,"['자동차부품', '전선']",0.003,0.97,0.028,dn/dnk
105560,KOSPI,KB금융,"['STO(토큰증권 발행)', '인터넷은행', '코리아 밸류업 지수(Korea Value-up Index)', '밸류업(24년 기업가치 제고계획 발표)', '지주사', '카카오뱅크(kakao BANK)', '은행']",0.005,0.003,0.992,dn/dnk
432320,KOSPI,KB스타리츠,['리츠(REITs)'],,,,dn/dnk
24120,KOSDAQ,KB오토시스,['자동차부품'],0.906,0.094,0.0,dn/dnk
455250,KOSDAQ,KB제25호스팩,['기업인수목적회사(SPAC)'],,,,dn/dnk
464680,KOSDAQ,KB제27호스팩,['기업인수목적회사(SPAC)'],,,,dn/dnk
478390,KOSDAQ,KB제29호스팩,['기업인수목적회사(SPAC)'],,,,
486630,KOSDAQ,KB제30호스팩,['기업인수목적회사(SPAC)'],,,,
492220,KOSDAQ,KB제31호스팩,['기업인수목적회사(SPAC)'],,,,
2380,KOSPI,KCC,"['밸류업(25년 기업가치 제고계획 발표)', '페인트', '태양광에너지', '리모델링/인테리어', '건설 중소형']",0.0,0.003,0.997,dn/dnk
21320,KOSDAQ,KCC건설,['건설 중소형'],0.0,0.002,0.998,dn/dnk
344820,KOSPI,KCC글라스,['리모델링/인테리어'],0.586,0.397,0.017,dn/dnk
9070,KOSPI,KCTC,"['쿠팡(coupang)', '종합 물류']",0.048,0.489,0.463,dn/dnk
44180,KOSDAQ,KD,['건설 중소형'],0.04,0.342,0.618,dn/dnk
92220,KOSPI,KEC,"['전기차', '반도체 재료/부품']",0.996,0.004,0.0,dn/dnk
46440,KOSDAQ,KG모빌리언스,"['인터넷은행', '삼성페이', '핀테크(FinTech)', '전자결제(전자화폐)', '모바일콘텐츠(스마트폰/태블릿PC)', '애플페이', '가상화폐(비트코인 등)']",0.308,0.496,0.196,dn/dnk
3620,KOSPI,KG모빌리티,"['자동차 대표주', '자율주행차', '전기차']",0.013,0.968,0.019,dn/dnk
16380,KOSPI,KG스틸,"['철강 주요종목', '밸류업(25년 기업가치 제고계획 발표)']",0.611,0.379,0.009,dn/dnk
35600,KOSDAQ,KG이니시스,"['인터넷은행', '삼성페이', '밸류업(24년 기업가치 제고계획 발표)', '핀테크(FinTech)', '전자결제(전자화폐)', '애플페이']",0.053,0.818,0.129,dn/dnk
1390,KOSPI,KG케미칼,"['2차전지', '2차전지(소재/부품)', '밸류업(25년 기업가치 제고계획 발표)', '농업', '요소수', '수자원(양적/질적 개선)', '비료']",0.005,0.218,0.778,dn/dnk
60720,KOSDAQ,KH바텍,"['휴대폰부품', '갤럭시 부품주', '스마트폰', '폴더블폰']",0.077,0.916,0.007,dn/dnk
1940,KOSPI,KISCO홀딩스,['지주사'],0.009,0.047,0.944,dn/dnk
