theme,tier,signal_type_tier,signal_type_cohesion,signal_type_leadership,signal_strength,is_tier1,is_tier2,leadership_gap,current_fiedler,week_before_fiedler,fiedler_change,fiedler_pct_change,day_of_week,day_of_month,month,quarter,is_month_end,is_quarter_end,n_stocks,meta_label,meta_label_status,confidence
초전도체,1,1,0,0,2,1,0,0,0.8927136669333503,0.7504418962181534,0.1422717707151969,18.958399235460398,3,29,1,1,1,0,18,0,FILTERED,0.3413151800632477
로봇(산업용/협동로봇 등),1,1,0,0,2,1,0,0,2.840668532719016,2.544070366549456,0.2965981661695598,11.65841047753087,3,29,1,1,1,0,67,0,FILTERED,0.3413151800632477
통신,1,1,0,0,2,1,0,0,0.7004252723071538,0.2938685862503382,0.4065566860568156,138.3464259464881,3,29,1,1,1,0,5,1,PASS,0.6254280805587769
정유,1,1,0,0,2,1,0,0,1.292509737354974,1.096242452766836,0.1962672845881381,17.903638386998587,3,29,1,1,1,0,4,0,FILTERED,0.3413151800632477
방위산업/전쟁 및 테러,1,1,0,0,2,1,0,0,3.629126877233988,2.7729553654737575,0.8561715117602304,30.875776884852748,3,29,1,1,1,0,61,1,PASS,0.6254280805587769
전력설비,1,1,0,0,2,1,0,0,2.7030910239487684,1.763739481536363,0.9393515424124056,53.25908685755295,3,29,1,1,1,0,37,1,PASS,0.6254280805587769
자율주행차,1,1,0,0,2,1,0,0,2.9200035689168384,2.537139225514992,0.3828643434018466,15.090395495506648,3,29,1,1,1,0,64,0,FILTERED,0.3413151800632477
증권,1,1,0,0,2,1,0,0,3.5176866074588005,2.8223917891303505,0.69529481832845,24.63495043481145,3,29,1,1,1,0,26,1,PASS,0.6254280805587769
은행,1,1,0,0,2,1,0,0,3.7282596058483297,1.3154519216075187,2.412807684240811,183.42043860427017,3,29,1,1,1,0,11,1,PASS,0.6254280805587769
스페이스X(SpaceX),1,1,0,0,2,1,0,0,0.565898174344668,0.42803495220264653,0.1378632221420215,32.208402942933574,3,29,1,1,1,0,16,1,PASS,0.6254280805587769
수소차(연료전지/부품/충전소 등),2,1,0,0,1,0,1,0,4.192317094624278,2.5678244408730118,1.6244926537512665,63.26338467278432,3,29,1,1,1,0,85,1,PASS,0.7702735662460327
셰일가스(Shale Gas),2,1,0,0,1,0,1,0,1.129333002002464,0.7500125694235686,0.3793204325788953,50.57521007553603,3,29,1,1,1,0,14,1,PASS,0.7702735662460327
전기차,2,1,0,0,1,0,1,0,4.953369780474231,4.3597352714787085,0.5936345089955228,13.61629713801814,3,29,1,1,1,0,116,1,PASS,0.5350331664085388
카지노,2,1,0,0,1,0,1,0,0.7709174933011232,0.46440435299634686,0.3065131403047764,66.00134954100818,3,29,1,1,1,0,6,1,PASS,0.7702735662460327
밸류업(25년 기업가치 제고계획 발표),2,1,0,0,1,0,1,0,5.523046329801894,4.932171014656976,0.5908753151449178,11.98002488942513,3,29,1,1,1,0,99,1,PASS,0.5350331664085388
풍력에너지,2,1,0,0,1,0,1,0,2.383312015754081,1.8800126316777603,0.5032993840763205,26.77106395966958,3,29,1,1,1,0,41,1,PASS,0.7702735662460327
스마트그리드(지능형전력망),2,1,0,0,1,0,1,0,1.1158310609783992,0.9216314628745953,0.1941995981038039,21.071285641452576,3,29,1,1,1,0,22,1,PASS,0.5350331664085388
온디바이스 AI,2,1,0,0,1,0,1,0,2.131479783707455,1.898747242074813,0.232732541632642,12.257162853246797,3,29,1,1,1,0,28,1,PASS,0.5350331664085388
리비안(RIVIAN),2,1,0,0,1,0,1,0,1.4318079849377732,1.0873947229942487,0.3444132619435245,31.673251181056738,3,29,1,1,1,0,24,1,PASS,0.7702735662460327
통신장비,2,1,0,0,1,0,1,0,2.6000751722801194,2.036245643852278,0.5638295284278416,27.68966161475287,3,29,1,1,1,0,49,1,PASS,0.7702735662460327
LNG(액화천연가스),2,1,0,0,1,0,1,0,1.6868420550590817,1.2799535080481412,0.4068885470109404,31.789322381828,3,29,1,1,1,0,30,1,PASS,0.7702735662460327
퓨리오사AI,2,1,0,0,1,0,1,0,1.014130382801702,0.8101696572770657,0.2039607255246364,25.175063481164777,3,29,1,1,1,0,10,1,PASS,0.7702735662460327
블록체인,2,1,0,0,1,0,1,0,1.4052423536395953,1.1420512377138836,0.2631911159257116,23.04547355095538,3,29,1,1,1,0,25,1,PASS,0.5350331664085388
니켈,2,1,0,0,1,0,1,0,0.7040676946188965,0.5262272076061301,0.1778404870127665,33.79538048246953,3,29,1,1,1,0,16,1,PASS,0.7702735662460327
편의점,2,1,0,0,1,0,1,0,0.9166548122629304,0.9062627015147722,0.0103921107481583,1.1466995972347107,3,29,1,1,1,0,7,1,PASS,0.5350331664085388
스테이블코인,2,1,0,0,1,0,1,0,3.504213736591017,1.2149195537711397,2.2892941828198774,188.43175053968412,3,29,1,1,1,0,24,1,PASS,0.7702735662460327
