theme,n_stocks,current_fiedler,fiedler_change,pct_change
자동차부품,159,8.540969887764767,0.7675293891829931,9.873741097304663
지주사,156,7.793514732299999,-0.08146650305806435,-1.034497741941098
코리아 밸류업 지수(Korea Value-up Index),118,7.348239736205475,1.2078252163542054,19.670092506775273
반도체 장비,97,4.980962840506287,0.25515800220833373,5.399249671516937
전기차,115,4.971560098126573,1.7788963042991313,55.71824718087676
밸류업(25년 기업가치 제고계획 발표),83,4.814528351683387,0.8796760521198301,22.356011996114855
OLED(유기 발광 다이오드),88,4.577252935881308,2.2999174148546184,100.99159274597132
화장품,100,4.419201079232568,0.9141343769276915,26.080370348631916
제약업체,96,4.409372391298176,0.15446937766065894,3.6303853969306585
증권,26,4.034846175331504,1.787127010430484,79.50846521830415
지능형로봇/인공지능(AI),60,3.8408003189017585,1.2418427964353067,47.7823429471359
2차전지,159,3.827402321326133,0.3054803754448585,8.673683861793238
수소차(연료전지/부품/충전소 등),83,3.5817030581988547,2.2675765971355775,172.55391047379496
의료기기,90,3.5670022217478112,1.1530847640712873,47.76819358111648
전력저장장치(ESS),53,3.509581081568306,1.2786694550324174,57.3160065967251
밸류업(24년 기업가치 제고계획 발표),101,3.44499564819246,-1.5895322291768723,-31.572617490548943
메타버스(Metaverse),54,3.437649928282647,1.0657234190345442,44.93070990518913
코로나19(진단/치료제/백신 개발 등),82,3.133705168903497,1.4145111023239185,82.27757004409388
반도체 재료/부품,69,3.112716218462955,1.3380125726271284,75.39357772587258
유리 기판,21,3.0465065124862845,1.881826596826246,161.57457268075166
음식료업종,70,2.9579749754943627,-0.3019841065554769,-9.263432422151489
시스템반도체,60,2.899657385856382,-0.014712366385448483,-0.5048215441479668
해운,6,2.64213137210629,1.2527824036223,90.17046343578414
치매,55,2.6295329818829485,0.4923917356583325,23.039737618099462
풍력에너지,42,2.5671850982410533,0.7102657037846016,38.249678790850645
5G(5세대 이동통신),59,2.5662162224349623,0.03136997551495879,1.237549439263832
2차전지(소재/부품),88,2.540669129253204,0.7052738471382327,38.42626457694324
통신장비,48,2.3342222256555862,0.7418947281563768,46.59184302987553
드론(Drone),31,2.3221427497283775,0.7458504773970789,47.316762918210834
도시가스,9,2.2728042428673434,1.2382472110631597,119.68863706853907
원자력발전,57,2.2676669462262313,-0.6810092139179993,-23.09542238387713
2차전지(장비),52,2.2676460599603026,-0.20846183487036862,-8.418931796371671
철도,47,2.226951233766392,0.07784142799227523,3.622031214186214
보안주(정보),51,2.2146490634563074,1.3223927347789397,148.20771702893748
네옴시티,29,2.1968953601023506,0.8241430830555889,60.03581977868503
자율주행차,62,2.1894601904748265,1.2360634890329587,129.64839160483777
건강기능식품,57,2.178468965997282,-0.25662537720166156,-10.538621549444242
로봇(산업용/협동로봇 등),57,2.167118891668495,-0.2545366867789678,-10.510854187702147
스마트폰,71,2.152281612289592,-0.9248763857200193,-30.056187765407376
석유화학,22,2.1513738900736294,0.6533287268634047,43.61208479611915
전기차 화재 방지(배터리 열폭주 등),39,2.0086643969335096,1.1454232863062819,132.6886859540345
사물인터넷,34,1.9939818367520086,0.6447432585447161,47.785711805051875
갤럭시 부품주,41,1.9799048353873672,0.33745464006307624,20.54580656532164
은행,11,1.9683579384279712,0.813843936578992,70.4923400907744
손해보험,10,1.9323669878445058,0.8497425514550785,78.48913463370415
수산,11,1.9203279747276345,0.9392030125745253,95.7271549297263
휴대폰부품,51,1.8748245970281787,-0.45072089978372887,-19.381297867602356
철강 중소형,42,1.874574341031563,0.10080485201160183,5.683086366949422
방위산업/전쟁 및 테러,59,1.8691925221128365,0.18084886961608682,10.711614862806195
전기차(충전소/충전기),35,1.8227413927120044,0.37050211622830154,25.512470446701858
건설 대표주,9,1.8182836713845023,0.5695524148020223,45.6104875888804
여름,30,1.8135425434938681,0.4970248767191481,37.75299711220647
패션/의류,62,1.8092877702300019,-1.0064202496324421,-35.74306151536298
4차산업 수혜주,45,1.8015445706880857,1.0659241223467424,144.90137199831224
야놀자(Yanolja),6,1.7955798971709505,0.5939350962496137,49.42684358923919
원격진료/비대면진료(U-Healthcare),23,1.791935016080955,1.322331072188103,281.5843200179372
"백신/진단시약/방역(신종플루, AI 등)",48,1.7730951416056788,-0.06845472631856775,-3.7172344616292348
폴더블폰,31,1.7505692431688011,0.3474179070651038,24.75983153961295
모바일게임(스마트폰),41,1.7382438458092118,0.10494453594078368,6.425309513492514
건설 중소형,32,1.7292386205448516,0.22683332943520207,15.098011886504144
GTX(수도권 광역급행철도),29,1.6428987670807622,0.2670967729385405,19.41389633651961
게임,35,1.6304109575756591,0.28622523438237457,21.293577921837322
日 수출 규제(국산화 등),23,1.6257735016465495,0.4236045811956386,35.23669377817158
PCB(FPCB 등),35,1.603181687088728,-0.23103444620541813,-12.595813656403381
구제역/광우병 수혜,22,1.6017381406525317,0.6488641104248042,68.0954764051794
남북경협,29,1.5665454444075544,0.4079954288762975,35.21603930834266
스마트홈(홈네트워크),27,1.5541860297924246,0.32062248793230297,25.9915664700035
플렉서블 디스플레이,27,1.5248420161762555,-0.1275781850569262,-7.720686600279765
전력설비,35,1.5155400890064343,0.04051824122343595,2.7469587168716223
SI(시스템통합),35,1.510190614353899,0.1988688317591305,15.165524922923208
황사/미세먼지,28,1.5057415986812193,0.8765217015630221,139.30292185251255
비만치료제,39,1.5050610641405706,-0.015268810208123984,-1.00430902962195
아프리카 돼지열병(ASF),33,1.4978815935440315,0.13193058456292994,9.658515107459117
유전자 치료제/분석,43,1.4864918404431202,-0.385788446720984,-20.605272050656907
