Theme,Tier,Bull_Pct,Bear_Pct,Trend,Fiedler,Fiedler_Change,Stocks,Status
전기차,3,29.62962962962963,39.81481481481482,-0.12814814814814815,6.268145904485645,2.310834013437076,108,RESEARCH
수소차(연료전지/부품/충전소 등),3,27.848101265822784,37.9746835443038,-0.13215189873417726,4.761524710389879,2.5899407578436784,79,RESEARCH
폴더블폰,3,38.70967741935484,41.935483870967744,-0.11806451612903232,4.394547973973748,3.025218893447244,31,RESEARCH
모듈러주택,3,27.272727272727273,54.54545454545455,-0.17090909090909093,3.221761804763032,2.4587837815975644,11,RESEARCH
휴대폰부품,3,35.294117647058826,47.05882352941177,-0.21882352941176475,3.03431724373989,0.6620250256882998,51,RESEARCH
리튬,3,36.0,40.0,-0.19920000000000004,2.900060105971023,1.3974502398466802,25,RESEARCH
석유화학,3,31.818181818181817,45.45454545454545,-0.11636363636363645,2.780766008264218,1.3179040825351276,22,RESEARCH
전선,3,33.333333333333336,55.55555555555556,-0.26888888888888896,2.764840079994648,1.927845308725824,9,RESEARCH
철도,3,39.130434782608695,39.130434782608695,-0.11869565217391308,2.465995413999305,0.3326357468211487,46,RESEARCH
게임,3,29.41176470588235,55.88235294117647,-0.2941176470588236,2.27662433991552,0.9094091094068572,34,RESEARCH
방위산업/전쟁 및 테러,3,31.372549019607842,45.09803921568628,-0.13607843137254905,2.2027208656423856,0.1259126293612813,51,RESEARCH
모바일게임(스마트폰),3,33.333333333333336,56.41025641025641,-0.2738461538461539,2.0203635210031328,0.4243042391661034,39,RESEARCH
가상현실(VR),3,32.25806451612903,48.38709677419355,-0.2703225806451613,1.9208615041466133,0.5289155131587755,31,RESEARCH
아프리카 돼지열병(ASF),3,37.5,50.0,-0.25062500000000004,1.9118650534247104,0.5611012079424766,32,RESEARCH
탄소나노튜브(CNT),3,33.333333333333336,50.0,-0.19666666666666668,1.8718059204070936,1.2327180284915171,6,RESEARCH
전기차(충전소/충전기),3,32.25806451612903,38.70967741935484,-0.15225806451612903,1.782091305933422,0.3250137263498591,31,RESEARCH
LNG(액화천연가스),3,39.285714285714285,35.714285714285715,-0.13642857142857148,1.6868420550590792,0.369755840369216,28,RESEARCH
LED,3,30.952380952380953,47.61904761904762,-0.2538095238095239,1.5508699165837103,0.3518243632445879,42,RESEARCH
남-북-러 가스관사업,3,41.1764705882353,47.05882352941177,-0.22352941176470592,1.5502483087470342,0.7307376317782153,17,RESEARCH
고령화 사회(노인복지),3,38.095238095238095,42.857142857142854,-0.1542857142857143,1.4938790989597766,0.3801987340331338,42,RESEARCH
항공기부품,3,33.333333333333336,20.0,0.04799999999999998,1.406377417021044,0.8506276782873474,15,RESEARCH
페인트,3,25.0,37.5,-0.1525,1.371686881213418,0.092932165928999,8,RESEARCH
구제역/광우병 수혜,3,31.818181818181817,54.54545454545455,-0.29000000000000004,1.321685025580794,0.3274267507582395,22,RESEARCH
MLCC(적층세라믹콘덴서),3,30.0,40.0,-0.15599999999999997,1.260658790120044,0.6332416202002124,10,RESEARCH
육계,3,33.333333333333336,33.333333333333336,-0.008888888888888878,1.241529441667124,0.6902544309625543,9,RESEARCH
사료,3,35.0,45.0,-0.263,1.2222426163878966,0.4480449902380268,20,RESEARCH
