signal_date,theme,signal_type,signal_strength,tier,leadership_gap,fiedler_change,pct_change,total_return,n_stocks,return_1w,return_2w,return_4w,return_8w,return_12w,ticker
2025-02-09,반도체 장비,leadership,2.75,,55.0,,,-4.556622496650722,97.0,5.7450779567132395,8.727496758445588,-1.895999073184818,-6.5006119257182355,-4.556622496650722,
2025-02-09,반도체 장비,leadership,2.75,,55.0,,,-2.2413793103448274,,5.057471264367816,4.655172413793104,-2.9885057471264367,-4.310344827586207,-2.2413793103448274,AP시스템
2025-02-09,반도체 장비,leadership,2.75,,55.0,,,-0.26007802340702213,,3.5110533159947983,6.8920676202860855,-6.11183355006502,-6.8920676202860855,-0.26007802340702213,GS
2025-02-09,반도체 장비,leadership,2.75,,55.0,,,-4.507512520868113,,2.1702838063439067,17.696160267111853,8.514190317195327,-5.119643850862548,-4.507512520868113,GST
2025-02-09,반도체 장비,leadership,2.75,,55.0,,,-26.26427406199021,,4.567699836867863,3.4257748776508974,-16.965742251223492,-16.6394779771615,-26.26427406199021,HPSP
2025-02-09,반도체 장비,leadership,2.75,,55.0,,,-9.28462709284627,,15.52511415525114,9.28462709284627,-4.87062404870624,-13.850837138508371,-9.28462709284627,SFA반도체
2025-02-09,반도체 장비,leadership,2.75,,55.0,,,-19.279907084785133,,17.59581881533101,8.652729384436702,-8.246225319396052,-20.905923344947734,-19.279907084785133,고영
2025-02-09,반도체 장비,leadership,2.75,,55.0,,,-21.603830041891083,,-1.7953321364452424,-4.248952722920407,-16.098144823459005,-23.159784560143628,-21.603830041891083,그린리소스
2025-02-09,반도체 장비,leadership,2.75,,55.0,,,-5.646630236794172,,-5.2823315118397085,-5.828779599271402,-8.014571948998178,-9.836065573770492,-5.646630236794172,기가레인
2025-02-09,반도체 장비,leadership,2.75,,55.0,,,-24.33234421364985,,-0.5934718100890208,-6.231454005934718,-13.501483679525222,-26.409495548961427,-24.33234421364985,기가비스
2025-02-09,반도체 장비,leadership,2.75,,55.0,,,5.7591623036649215,,21.465968586387437,33.50785340314136,8.37696335078534,-6.387434554973822,5.7591623036649215,네오셈
2025-02-09,반도체 장비,leadership,1.375,,55.0,,,-4.556622496650722,97.0,5.7450779567132395,8.727496758445588,-1.895999073184818,-6.5006119257182355,-4.556622496650722,
2025-02-09,반도체 장비,leadership,1.375,,55.0,,,-2.2413793103448274,,5.057471264367816,4.655172413793104,-2.9885057471264367,-4.310344827586207,-2.2413793103448274,AP시스템
2025-02-09,반도체 장비,leadership,1.375,,55.0,,,-0.26007802340702213,,3.5110533159947983,6.8920676202860855,-6.11183355006502,-6.8920676202860855,-0.26007802340702213,GS
2025-02-09,반도체 장비,leadership,1.375,,55.0,,,-4.507512520868113,,2.1702838063439067,17.696160267111853,8.514190317195327,-5.119643850862548,-4.507512520868113,GST
2025-02-09,반도체 장비,leadership,1.375,,55.0,,,-26.26427406199021,,4.567699836867863,3.4257748776508974,-16.965742251223492,-16.6394779771615,-26.26427406199021,HPSP
2025-02-09,반도체 장비,leadership,1.375,,55.0,,,-9.28462709284627,,15.52511415525114,9.28462709284627,-4.87062404870624,-13.850837138508371,-9.28462709284627,SFA반도체
2025-02-09,반도체 장비,leadership,1.375,,55.0,,,-19.279907084785133,,17.59581881533101,8.652729384436702,-8.246225319396052,-20.905923344947734,-19.279907084785133,고영
2025-02-09,반도체 장비,leadership,1.375,,55.0,,,-21.603830041891083,,-1.7953321364452424,-4.248952722920407,-16.098144823459005,-23.159784560143628,-21.603830041891083,그린리소스
2025-02-09,반도체 장비,leadership,1.375,,55.0,,,-5.646630236794172,,-5.2823315118397085,-5.828779599271402,-8.014571948998178,-9.836065573770492,-5.646630236794172,기가레인
2025-02-09,반도체 장비,leadership,1.375,,55.0,,,-24.33234421364985,,-0.5934718100890208,-6.231454005934718,-13.501483679525222,-26.409495548961427,-24.33234421364985,기가비스
2025-02-09,반도체 장비,leadership,1.375,,55.0,,,5.7591623036649215,,21.465968586387437,33.50785340314136,8.37696335078534,-6.387434554973822,5.7591623036649215,네오셈
2025-02-09,은행,leadership,3.0,,66.7,,,2.646765410505831,11.0,-2.25158658460696,0.2827246110557348,-4.177619379540962,-6.337983146974751,2.646765410505831,
2025-02-09,은행,leadership,3.0,,66.7,,,-13.732097725358045,,-5.475989890480202,-0.42122999157540014,-11.794439764111205,-17.69165964616681,-13.732097725358045,BNK금융지주
2025-02-09,은행,leadership,3.0,,66.7,,,-12.828438948995363,,-7.779495105615662,-3.967027305512622,-10.767645543534261,-7.006697578567748,-12.828438948995363,JB금융지주
2025-02-09,은행,leadership,3.0,,66.7,,,5.9371362048894065,,-7.916181606519208,-3.841676367869616,-8.498253783469151,-11.874272409778813,5.9371362048894065,KB금융
2025-02-09,은행,leadership,3.0,,66.7,,,10.905125408942203,,1.9629225736095965,4.79825517993457,-1.9629225736095965,-3.271537622682661,10.905125408942203,iM금융지주
2025-02-09,은행,leadership,3.0,,66.7,,,0.1978891820580475,,0.9894459102902375,2.7704485488126647,1.978891820580475,-6.33245382585752,0.1978891820580475,기업은행
2025-02-09,은행,leadership,3.0,,66.7,,,2.404809619238477,,-4.809619238476954,-4.208416833667335,-8.316633266533065,-6.012024048096192,2.404809619238477,신한지주
2025-02-09,은행,leadership,3.0,,66.7,,,13.161290322580646,,9.67741935483871,11.870967741935484,3.870967741935484,6.903225806451613,13.161290322580646,우리금융지주
2025-02-09,은행,leadership,3.0,,66.7,,,39.65087281795511,,0.12468827930174563,2.9925187032418954,-2.8678304239401498,-6.234413965087282,39.65087281795511,제주은행
