theme,strategy,signal_date,total_return,holding_weeks,n_stocks,signal_still_valid_week7_pct,intermediate_returns,signal_type,signal_strength,tier
반도체 장비,etf_style,2025-02-09,-1.1966336359241514,11.0,97,0.0,"{'1w': 5.7450779567132395, '2w': 5.602245668453446}",leadership,2.75,
반도체 장비,etf_style,2025-02-09,-1.1966336359241514,11.0,97,0.0,"{'1w': 5.7450779567132395, '2w': 5.602245668453446}",leadership,1.375,
은행,etf_style,2025-02-09,0.9506320600125536,11.909090909090908,11,0.0,"{'1w': -2.25158658460696, '2w': 1.346945836581746}",leadership,3.0,
은행,etf_style,2025-02-09,0.9506320600125536,11.909090909090908,11,0.0,"{'1w': -2.25158658460696, '2w': 1.346945836581746}",leadership,1.6675,
은행,etf_style,2025-02-09,0.9506320600125536,11.909090909090908,11,0.0,"{'1w': -2.25158658460696, '2w': 1.346945836581746}",leadership,1.1116666666666668,
제약업체,etf_style,2025-02-09,0.1325281359995941,11.284210526315789,95,0.0,"{'1w': -1.5134713843591556, '2w': 0.6542674004275931}",leadership,1.0050000000000001,
증권,etf_style,2025-02-09,1.7420177182799266,11.461538461538462,26,0.0,"{'1w': 2.8413538537277137, '2w': 4.244426333094603}",leadership,1.175,
풍력에너지,etf_style,2025-02-09,0.7586813307781768,10.428571428571429,42,0.0,"{'1w': 2.327333202631008, '2w': 3.07627065922831}",leadership,3.0,
풍력에너지,etf_style,2025-02-09,0.7586813307781768,10.428571428571429,42,0.0,"{'1w': 2.327333202631008, '2w': 3.07627065922831}",leadership,2.0524999999999998,
풍력에너지,etf_style,2025-02-09,0.7586813307781768,10.428571428571429,42,0.0,"{'1w': 2.327333202631008, '2w': 3.07627065922831}",leadership,1.3683333333333332,
태양광에너지,etf_style,2025-02-09,0.8148650533287426,10.857142857142858,56,0.0,"{'1w': 3.824102170970352, '2w': 4.257914002028702}",leadership,3.0,
태양광에너지,etf_style,2025-02-09,0.8148650533287426,10.857142857142858,56,0.0,"{'1w': 3.824102170970352, '2w': 4.257914002028702}",leadership,1.6875,
태양광에너지,etf_style,2025-02-09,0.8148650533287426,10.857142857142858,56,0.0,"{'1w': 3.824102170970352, '2w': 4.257914002028702}",leadership,1.125,
4차산업 수혜주,etf_style,2025-02-09,-0.3574829611680323,10.326086956521738,46,0.0,"{'1w': 2.1659062324352716, '2w': 3.0680224233062234}",leadership,2.0,
4차산업 수혜주,etf_style,2025-02-09,-0.3574829611680323,10.326086956521738,46,0.0,"{'1w': 2.1659062324352716, '2w': 3.0680224233062234}",leadership,1.0,
자율주행차,etf_style,2025-02-09,-2.282263164648277,11.540983606557377,61,0.0,"{'1w': 3.686296358313682, '2w': 1.4876206996350838}",leadership,2.31,
자율주행차,etf_style,2025-02-09,-2.282263164648277,11.540983606557377,61,0.0,"{'1w': 3.686296358313682, '2w': 1.4876206996350838}",leadership,1.155,
2차전지,etf_style,2025-02-09,0.12905237385976057,10.348101265822784,158,0.0,"{'1w': 4.156530277212047, '2w': 6.757516040221653}",leadership,3.0,
2차전지,etf_style,2025-02-09,0.12905237385976057,10.348101265822784,158,0.0,"{'1w': 4.156530277212047, '2w': 6.757516040221653}",leadership,1.605,
2차전지,etf_style,2025-02-09,0.12905237385976057,10.348101265822784,158,0.0,"{'1w': 4.156530277212047, '2w': 6.757516040221653}",leadership,1.07,
2차전지,etf_style,2025-02-09,0.12905237385976057,10.348101265822784,158,0.0,"{'1w': 4.156530277212047, '2w': 6.757516040221653}",leadership,3.0,
2차전지,etf_style,2025-02-09,0.12905237385976057,10.348101265822784,158,0.0,"{'1w': 4.156530277212047, '2w': 6.757516040221653}",leadership,1.605,
2차전지,etf_style,2025-02-09,0.12905237385976057,10.348101265822784,158,0.0,"{'1w': 4.156530277212047, '2w': 6.757516040221653}",leadership,1.07,
건설 대표주,etf_style,2025-02-09,2.060190610527779,10.444444444444445,9,0.0,"{'1w': 5.233760060965417, '2w': 4.867583292574967}",leadership,1.6649999999999998,
2차전지,etf_style,2025-02-09,0.12905237385976057,10.348101265822784,158,0.0,"{'1w': 4.156530277212047, '2w': 6.757516040221653}",leadership,3.0,
2차전지,etf_style,2025-02-09,0.12905237385976057,10.348101265822784,158,0.0,"{'1w': 4.156530277212047, '2w': 6.757516040221653}",leadership,1.605,
2차전지,etf_style,2025-02-09,0.12905237385976057,10.348101265822784,158,0.0,"{'1w': 4.156530277212047, '2w': 6.757516040221653}",leadership,1.07,
광고,etf_style,2025-02-09,0.3262173554921297,11.076923076923077,26,0.0,"{'1w': -1.1775048296530246, '2w': 2.844499952110605}",leadership,1.6649999999999998,
카지노,etf_style,2025-02-09,1.5720437885926553,11.333333333333334,6,0.0,"{'1w': -0.8185975457428342, '2w': 0.8744770234560111}",leadership,1.6649999999999998,
윤활유,etf_style,2025-02-09,-0.2323069037606813,12.0,8,0.0,"{'1w': 1.1339845121338534, '2w': 3.1997415534135496}",leadership,3.0,
윤활유,etf_style,2025-02-09,-0.2323069037606813,12.0,8,0.0,"{'1w': 1.1339845121338534, '2w': 3.1997415534135496}",leadership,1.6675,
윤활유,etf_style,2025-02-09,-0.2323069037606813,12.0,8,0.0,"{'1w': 1.1339845121338534, '2w': 3.1997415534135496}",leadership,1.1116666666666668,
자원개발,etf_style,2025-02-09,-0.45787392533971283,9.3125,16,0.0,"{'1w': 5.894244570466843, '2w': 7.763372565312142}",leadership,2.2199999999999998,
자원개발,etf_style,2025-02-09,-0.45787392533971283,9.3125,16,0.0,"{'1w': 5.894244570466843, '2w': 7.763372565312142}",leadership,1.1099999999999999,
은행,etf_style,2025-02-09,0.9506320600125536,11.909090909090908,11,0.0,"{'1w': -2.25158658460696, '2w': 1.346945836581746}",leadership,3.0,
은행,etf_style,2025-02-09,0.9506320600125536,11.909090909090908,11,0.0,"{'1w': -2.25158658460696, '2w': 1.346945836581746}",leadership,1.6675,
은행,etf_style,2025-02-09,0.9506320600125536,11.909090909090908,11,0.0,"{'1w': -2.25158658460696, '2w': 1.346945836581746}",leadership,1.1116666666666668,
