theme,strategy,signal_date,total_return,holding_weeks,n_stocks,signal_still_valid_pct,signal_type,signal_strength,tier
반도체 장비,relaxed,2025-02-09,-1.26081702664379,11.587628865979381,97,0.0,leadership,2.75,
반도체 장비,relaxed,2025-02-09,-1.26081702664379,11.587628865979381,97,0.0,leadership,1.375,
은행,relaxed,2025-02-09,0.7331299359683733,12.0,11,0.0,leadership,3.0,
은행,relaxed,2025-02-09,0.7331299359683733,12.0,11,0.0,leadership,1.6675,
은행,relaxed,2025-02-09,0.7331299359683733,12.0,11,0.0,leadership,1.1116666666666668,
제약업체,relaxed,2025-02-09,-0.3472018227137284,12.0,95,0.0,leadership,1.0050000000000001,
증권,relaxed,2025-02-09,1.9311011726826663,12.0,26,0.0,leadership,1.175,
풍력에너지,relaxed,2025-02-09,0.830004731770269,11.761904761904763,42,0.0,leadership,3.0,
풍력에너지,relaxed,2025-02-09,0.830004731770269,11.761904761904763,42,0.0,leadership,2.0524999999999998,
풍력에너지,relaxed,2025-02-09,0.830004731770269,11.761904761904763,42,0.0,leadership,1.3683333333333332,
태양광에너지,relaxed,2025-02-09,0.927699179621187,11.642857142857142,56,0.0,leadership,3.0,
태양광에너지,relaxed,2025-02-09,0.927699179621187,11.642857142857142,56,0.0,leadership,1.6875,
태양광에너지,relaxed,2025-02-09,0.927699179621187,11.642857142857142,56,0.0,leadership,1.125,
4차산업 수혜주,relaxed,2025-02-09,-0.2912811246676102,10.652173913043478,46,0.0,leadership,2.0,
4차산업 수혜주,relaxed,2025-02-09,-0.2912811246676102,10.652173913043478,46,0.0,leadership,1.0,
자율주행차,relaxed,2025-02-09,-2.6651173710598717,11.836065573770492,61,0.0,leadership,2.31,
자율주행차,relaxed,2025-02-09,-2.6651173710598717,11.836065573770492,61,0.0,leadership,1.155,
2차전지,relaxed,2025-02-09,-0.25447101952302625,11.360759493670885,158,0.0,leadership,3.0,
2차전지,relaxed,2025-02-09,-0.25447101952302625,11.360759493670885,158,0.0,leadership,1.605,
2차전지,relaxed,2025-02-09,-0.25447101952302625,11.360759493670885,158,0.0,leadership,1.07,
2차전지,relaxed,2025-02-09,-0.25447101952302625,11.360759493670885,158,0.0,leadership,3.0,
2차전지,relaxed,2025-02-09,-0.25447101952302625,11.360759493670885,158,0.0,leadership,1.605,
2차전지,relaxed,2025-02-09,-0.25447101952302625,11.360759493670885,158,0.0,leadership,1.07,
건설 대표주,relaxed,2025-02-09,2.970072887164801,12.0,9,0.0,leadership,1.6649999999999998,
2차전지,relaxed,2025-02-09,-0.25447101952302625,11.360759493670885,158,0.0,leadership,3.0,
2차전지,relaxed,2025-02-09,-0.25447101952302625,11.360759493670885,158,0.0,leadership,1.605,
2차전지,relaxed,2025-02-09,-0.25447101952302625,11.360759493670885,158,0.0,leadership,1.07,
광고,relaxed,2025-02-09,0.20218105546202286,11.615384615384615,26,0.0,leadership,1.6649999999999998,
카지노,relaxed,2025-02-09,2.1477344293474014,12.0,6,0.0,leadership,1.6649999999999998,
윤활유,relaxed,2025-02-09,-0.2323069037606813,12.0,8,0.0,leadership,3.0,
윤활유,relaxed,2025-02-09,-0.2323069037606813,12.0,8,0.0,leadership,1.6675,
윤활유,relaxed,2025-02-09,-0.2323069037606813,12.0,8,0.0,leadership,1.1116666666666668,
자원개발,relaxed,2025-02-09,-0.5572721112188368,11.375,16,0.0,leadership,2.2199999999999998,
자원개발,relaxed,2025-02-09,-0.5572721112188368,11.375,16,0.0,leadership,1.1099999999999999,
은행,relaxed,2025-02-09,0.7331299359683733,12.0,11,0.0,leadership,3.0,
은행,relaxed,2025-02-09,0.7331299359683733,12.0,11,0.0,leadership,1.6675,
은행,relaxed,2025-02-09,0.7331299359683733,12.0,11,0.0,leadership,1.1116666666666668,
2차전지,relaxed,2025-02-09,-0.25447101952302625,11.360759493670885,158,0.0,leadership,3.0,
2차전지,relaxed,2025-02-09,-0.25447101952302625,11.360759493670885,158,0.0,leadership,1.605,
2차전지,relaxed,2025-02-09,-0.25447101952302625,11.360759493670885,158,0.0,leadership,1.07,
유리 기판,relaxed,2025-02-09,-3.51587446004672,12.0,21,0.0,leadership,2.855,
유리 기판,relaxed,2025-02-09,-3.51587446004672,12.0,21,0.0,leadership,1.4275,
GTX(수도권 광역급행철도),relaxed,2025-02-09,1.9688684109921355,11.655172413793103,29,0.0,leadership,3.0,
GTX(수도권 광역급행철도),relaxed,2025-02-09,1.9688684109921355,11.655172413793103,29,0.0,leadership,1.5525,
GTX(수도권 광역급행철도),relaxed,2025-02-09,1.9688684109921355,11.655172413793103,29,0.0,leadership,1.035,
사물인터넷,relaxed,2025-02-09,0.11452757906329075,11.676470588235293,34,0.0,leadership,2.1350000000000002,
사물인터넷,relaxed,2025-02-09,0.11452757906329075,11.676470588235293,34,0.0,leadership,1.0675000000000001,
전력설비,relaxed,2025-02-09,-0.30911851528695256,11.428571428571429,35,0.0,leadership,3.0,
전력설비,relaxed,2025-02-09,-0.30911851528695256,11.428571428571429,35,0.0,leadership,1.5,
전력설비,relaxed,2025-02-09,-0.30911851528695256,11.428571428571429,35,0.0,leadership,1.0,
전기차,relaxed,2025-02-09,-0.7374976598171444,11.817391304347826,115,0.0,leadership,2.0100000000000002,
전기차,relaxed,2025-02-09,-0.7374976598171444,11.817391304347826,115,0.0,leadership,1.0050000000000001,
증권,relaxed,2025-02-09,1.9311011726826663,12.0,26,0.0,leadership,1.175,
비료,relaxed,2025-02-09,0.1924977229199594,12.0,12,0.0,leadership,3.0,
비료,relaxed,2025-02-09,0.1924977229199594,12.0,12,0.0,leadership,1.6675,
비료,relaxed,2025-02-09,0.1924977229199594,12.0,12,0.0,leadership,1.1116666666666668,
갤럭시 부품주,relaxed,2025-02-09,-1.0830274154684325,11.512195121951219,41,0.0,leadership,1.6649999999999998,
폴더블폰,relaxed,2025-02-09,-1.1773964087863922,11.67741935483871,31,0.0,leadership,2.02,
폴더블폰,relaxed,2025-02-09,-1.1773964087863922,11.67741935483871,31,0.0,leadership,1.01,
석유화학,relaxed,2025-02-09,1.3967300455944902,11.090909090909092,22,0.0,leadership,3.0,
석유화학,relaxed,2025-02-09,1.3967300455944902,11.090909090909092,22,0.0,leadership,1.6675,
석유화학,relaxed,2025-02-09,1.3967300455944902,11.090909090909092,22,0.0,leadership,1.1116666666666668,
블록체인,relaxed,2025-02-09,-0.18810672130161793,11.884615384615385,26,0.0,leadership,1.6649999999999998,
2차전지,relaxed,2025-02-09,-0.25447101952302625,11.360759493670885,158,0.0,leadership,3.0,
2차전지,relaxed,2025-02-09,-0.25447101952302625,11.360759493670885,158,0.0,leadership,1.605,
2차전지,relaxed,2025-02-09,-0.25447101952302625,11.360759493670885,158,0.0,leadership,1.07,
2차전지,relaxed,2025-02-09,-0.25447101952302625,11.360759493670885,158,0.0,leadership,3.0,
2차전지,relaxed,2025-02-09,-0.25447101952302625,11.360759493670885,158,0.0,leadership,1.605,
2차전지,relaxed,2025-02-09,-0.25447101952302625,11.360759493670885,158,0.0,leadership,1.07,
2차전지,relaxed,2025-02-09,-0.25447101952302625,11.360759493670885,158,0.0,leadership,3.0,
2차전지,relaxed,2025-02-09,-0.25447101952302625,11.360759493670885,158,0.0,leadership,1.605,
2차전지,relaxed,2025-02-09,-0.25447101952302625,11.360759493670885,158,0.0,leadership,1.07,
전기차,relaxed,2025-02-09,-0.7374976598171444,11.817391304347826,115,0.0,leadership,2.0100000000000002,
전기차,relaxed,2025-02-09,-0.7374976598171444,11.817391304347826,115,0.0,leadership,1.0050000000000001,
OLED(유기 발광 다이오드),relaxed,2025-02-09,-1.0526607943265456,11.545454545454545,88,0.0,leadership,1.5699999999999998,
전기차,relaxed,2025-02-09,-0.7374976598171444,11.817391304347826,115,0.0,leadership,2.0100000000000002,
전기차,relaxed,2025-02-09,-0.7374976598171444,11.817391304347826,115,0.0,leadership,1.0050000000000001,
네옴시티,relaxed,2025-02-09,0.9038942025992432,12.0,29,0.0,leadership,3.0,
네옴시티,relaxed,2025-02-09,0.9038942025992432,12.0,29,0.0,leadership,2.2375,
네옴시티,relaxed,2025-02-09,0.9038942025992432,12.0,29,0.0,leadership,1.4916666666666667,
제대혈,relaxed,2025-02-09,-1.3358400982226082,12.0,6,0.0,leadership,2.5,
제대혈,relaxed,2025-02-09,-1.3358400982226082,12.0,6,0.0,leadership,1.25,
태풍 및 장마,relaxed,2025-02-09,0.4269240261468161,12.0,11,0.0,leadership,1.6649999999999998,
남북경협,relaxed,2025-02-09,0.9246950030585934,11.642857142857142,28,0.0,leadership,3.0,
남북경협,relaxed,2025-02-09,0.9246950030585934,11.642857142857142,28,0.0,leadership,1.8175000000000001,
남북경협,relaxed,2025-02-09,0.9246950030585934,11.642857142857142,28,0.0,leadership,1.2116666666666667,
그래핀,relaxed,2025-02-09,0.577223548339735,11.23076923076923,13,0.0,leadership,3.0,
