metric,baseline,meta_labeling,change,change_pct
Total Signals,0.0,0.0,0.0,0.0
Win Rate,67.6724413475676,81.20863061978854,13.536189272220938,20.00251358259514
Average Return,13.301747720146695,19.93319441346485,6.631446693318155,49.853950269063
Median Return,8.802308802308803,15.129682997118154,6.327374194809352,71.8831199508669
Sharpe Ratio,1.0039380653596148,1.5213700012886964,0.5174319359290815,51.540224818922
Max Drawdown,-100.0,-98.58964393533523,1.410356064664768,1.410356064664768
