signal_date,theme,signal_type,signal_strength,tier,leadership_gap,fiedler_change,pct_change,total_return,n_stocks,return_1w,return_2w,return_4w,return_8w,return_12w,ticker,date
2025-02-09,은행,leadership,3.0,,66.7,,,2.646765410505831,11.0,-2.25158658460696,0.2827246110557348,-4.177619379540962,-6.337983146974751,2.646765410505831,,2025-02-09
2025-02-09,은행,leadership,3.0,,66.7,,,-13.732097725358043,,-5.475989890480202,-0.4212299915754001,-11.794439764111203,-17.69165964616681,-13.732097725358043,BNK금융지주,2025-02-09
2025-02-09,은행,leadership,3.0,,66.7,,,-12.828438948995364,,-7.779495105615662,-3.967027305512622,-10.76764554353426,-7.006697578567748,-12.828438948995364,JB금융지주,2025-02-09
2025-02-09,은행,leadership,3.0,,66.7,,,5.937136204889407,,-7.916181606519208,-3.841676367869616,-8.498253783469151,-11.874272409778811,5.937136204889407,KB금융,2025-02-09
2025-02-09,은행,leadership,3.0,,66.7,,,10.905125408942205,,1.9629225736095963,4.79825517993457,-1.9629225736095963,-3.271537622682661,10.905125408942205,iM금융지주,2025-02-09
2025-02-09,은행,leadership,3.0,,66.7,,,0.1978891820580475,,0.9894459102902377,2.7704485488126647,1.978891820580475,-6.33245382585752,0.1978891820580475,기업은행,2025-02-09
2025-02-09,은행,leadership,3.0,,66.7,,,2.404809619238477,,-4.809619238476954,-4.208416833667335,-8.316633266533065,-6.012024048096192,2.404809619238477,신한지주,2025-02-09
2025-02-09,은행,leadership,3.0,,66.7,,,13.161290322580646,,9.67741935483871,11.870967741935484,3.870967741935484,6.903225806451613,13.161290322580646,우리금융지주,2025-02-09
2025-02-09,은행,leadership,3.0,,66.7,,,39.65087281795511,,0.1246882793017456,2.9925187032418954,-2.8678304239401498,-6.234413965087282,39.65087281795511,제주은행,2025-02-09
2025-02-09,은행,leadership,3.0,,66.7,,,-15.597345132743362,,-10.287610619469026,-11.50442477876106,-1.6592920353982303,-5.752212389380531,-15.597345132743362,카카오,2025-02-09
2025-02-09,은행,leadership,3.0,,66.7,,,-4.893617021276596,,0.2127659574468085,2.3404255319148937,-1.702127659574468,-7.234042553191489,-4.893617021276596,카카오뱅크,2025-02-09
2025-02-09,은행,leadership,1.6675,,66.7,,,2.646765410505831,11.0,-2.25158658460696,0.2827246110557348,-4.177619379540962,-6.337983146974751,2.646765410505831,,2025-02-09
2025-02-09,은행,leadership,1.6675,,66.7,,,-13.732097725358043,,-5.475989890480202,-0.4212299915754001,-11.794439764111203,-17.69165964616681,-13.732097725358043,BNK금융지주,2025-02-09
2025-02-09,은행,leadership,1.6675,,66.7,,,-12.828438948995364,,-7.779495105615662,-3.967027305512622,-10.76764554353426,-7.006697578567748,-12.828438948995364,JB금융지주,2025-02-09
2025-02-09,은행,leadership,1.6675,,66.7,,,5.937136204889407,,-7.916181606519208,-3.841676367869616,-8.498253783469151,-11.874272409778811,5.937136204889407,KB금융,2025-02-09
2025-02-09,은행,leadership,1.6675,,66.7,,,10.905125408942205,,1.9629225736095963,4.79825517993457,-1.9629225736095963,-3.271537622682661,10.905125408942205,iM금융지주,2025-02-09
2025-02-09,은행,leadership,1.6675,,66.7,,,0.1978891820580475,,0.9894459102902377,2.7704485488126647,1.978891820580475,-6.33245382585752,0.1978891820580475,기업은행,2025-02-09
2025-02-09,은행,leadership,1.6675,,66.7,,,2.404809619238477,,-4.809619238476954,-4.208416833667335,-8.316633266533065,-6.012024048096192,2.404809619238477,신한지주,2025-02-09
2025-02-09,은행,leadership,1.6675,,66.7,,,13.161290322580646,,9.67741935483871,11.870967741935484,3.870967741935484,6.903225806451613,13.161290322580646,우리금융지주,2025-02-09
2025-02-09,은행,leadership,1.6675,,66.7,,,39.65087281795511,,0.1246882793017456,2.9925187032418954,-2.8678304239401498,-6.234413965087282,39.65087281795511,제주은행,2025-02-09
2025-02-09,은행,leadership,1.6675,,66.7,,,-15.597345132743362,,-10.287610619469026,-11.50442477876106,-1.6592920353982303,-5.752212389380531,-15.597345132743362,카카오,2025-02-09
2025-02-09,은행,leadership,1.6675,,66.7,,,-4.893617021276596,,0.2127659574468085,2.3404255319148937,-1.702127659574468,-7.234042553191489,-4.893617021276596,카카오뱅크,2025-02-09
2025-02-09,은행,leadership,1.1116666666666668,,66.7,,,2.646765410505831,11.0,-2.25158658460696,0.2827246110557348,-4.177619379540962,-6.337983146974751,2.646765410505831,,2025-02-09
2025-02-09,은행,leadership,1.1116666666666668,,66.7,,,-13.732097725358043,,-5.475989890480202,-0.4212299915754001,-11.794439764111203,-17.69165964616681,-13.732097725358043,BNK금융지주,2025-02-09
2025-02-09,은행,leadership,1.1116666666666668,,66.7,,,-12.828438948995364,,-7.779495105615662,-3.967027305512622,-10.76764554353426,-7.006697578567748,-12.828438948995364,JB금융지주,2025-02-09
2025-02-09,은행,leadership,1.1116666666666668,,66.7,,,5.937136204889407,,-7.916181606519208,-3.841676367869616,-8.498253783469151,-11.874272409778811,5.937136204889407,KB금융,2025-02-09
2025-02-09,은행,leadership,1.1116666666666668,,66.7,,,10.905125408942205,,1.9629225736095963,4.79825517993457,-1.9629225736095963,-3.271537622682661,10.905125408942205,iM금융지주,2025-02-09
2025-02-09,은행,leadership,1.1116666666666668,,66.7,,,0.1978891820580475,,0.9894459102902377,2.7704485488126647,1.978891820580475,-6.33245382585752,0.1978891820580475,기업은행,2025-02-09
2025-02-09,은행,leadership,1.1116666666666668,,66.7,,,2.404809619238477,,-4.809619238476954,-4.208416833667335,-8.316633266533065,-6.012024048096192,2.404809619238477,신한지주,2025-02-09
2025-02-09,은행,leadership,1.1116666666666668,,66.7,,,13.161290322580646,,9.67741935483871,11.870967741935484,3.870967741935484,6.903225806451613,13.161290322580646,우리금융지주,2025-02-09
2025-02-09,은행,leadership,1.1116666666666668,,66.7,,,39.65087281795511,,0.1246882793017456,2.9925187032418954,-2.8678304239401498,-6.234413965087282,39.65087281795511,제주은행,2025-02-09
2025-02-09,은행,leadership,1.1116666666666668,,66.7,,,-15.597345132743362,,-10.287610619469026,-11.50442477876106,-1.6592920353982303,-5.752212389380531,-15.597345132743362,카카오,2025-02-09
2025-02-09,은행,leadership,1.1116666666666668,,66.7,,,-4.893617021276596,,0.2127659574468085,2.3404255319148937,-1.702127659574468,-7.234042553191489,-4.893617021276596,카카오뱅크,2025-02-09
2025-02-09,증권,leadership,1.175,,23.5,,,11.35906451604,26.0,2.8413538537277137,5.836207544376886,4.2688577103512415,-1.607434377572985,11.35906451604,,2025-02-09
2025-02-09,증권,leadership,1.175,,23.5,,,2.060221870047544,,2.3771790808240887,8.795562599049129,2.694136291600634,-4.3581616481774965,2.060221870047544,DB,2025-02-09
2025-02-09,증권,leadership,1.175,,23.5,,,18.047882136279927,,6.629834254143646,10.497237569060774,6.445672191528545,0.9208103130755064,18.047882136279927,DB증권,2025-02-09
